,subjsummary,subj,rel,obj,objsummary,ref
11,neuro-modulation treatments,neuro-modulation treatments,treatment options,all depression,all depression,neuro-modulation treatment offer a range of treatment option for patient with depression
0,resistant depression,resistant form of depression,treats,"combination of medication, psychotherapy, and somatic therapy",combination therapy,"combination of medication, psychotherapy, and somatic therapy remain the most effective way to manage resistant form of depression."
1,ect,electroconvulsive therapy (ect),first-line treatment,certain forms of depression,specific depressions,ect is the only somatic treatment with confirmed indications for certain forms of depression.
2,antidepressants,antidepressants,subset,treatment options for depression,depression treatments,"the three principal methods available to caregivers are antidepressants, specifically structured psychotherapy, and somatic approaches."
3,psychotherapy,structured psychotherapy,subset,treatment options for depression,depression treatments,"the three principal methods available to caregivers are antidepressants, specifically structured psychotherapy, and somatic approaches."
4,somatic approaches,somatic approaches,subset,treatment options for depression,depression treatments,"the three principal methods available to caregivers are antidepressants, specifically structured psychotherapy, and somatic approaches."
5,gaba regulation,gamma-aminobutyric acid (gaba) regulation,associated with,research on depression pharmacotherapy,pharmacotherapy research,research on depression pharmacotherapy continues to examine new molecules implicated in gamma-aminobutyric acid regulation.
6,glutamate transmission,glutamate transmission,associated with,research on depression pharmacotherapy,pharmacotherapy research,research on depression pharmacotherapy continues to examine new molecules implicated in glutamate transmission.
7,psychotherapeutic interventions,psychotherapeutic interventions,goal,to personalize and simplify,personalization and simplification,"also, efforts to personalize and simplify psychotherapeutic interventions are ongoing."
8,somatic interventions,somatic intervention protocols,requirements,further study and specification of indications,study & specification,"protocols using somatic interventions need to be studied in more depth, and their indications must be specified."
0,inhibition,inhibition of hepatobiliary transport,results,clinical hepatotoxicity of nefazodone,hepatotoxicity,"""inhibition of hepatobiliary transport as a predictive method for clinical hepatotoxicity of nefazodone."""
1,ketamine,ketamine,treats,treatment-resistant major depressive disorder,tr-mdd,"""ketamine for treatment-resistant depression: recent development and clinical application."""
2,nefazodone,nefazodone,comparable to,selective serotonin reuptake inhibitors,ssris,"""a meta-analysis of clinical trial compare the serotonin (5ht)-2 receptor antagonist trazodone and nefazodone with selective serotonin reuptake inhibitors for the treatment of major depressive disorder."""
3,bupropion,bupropion,treats,major depressive disorder with high levels of anxiety (anxious depression),anxious mdd,"""efficacy of bupropion and the selective serotonin reuptake inhibitors in the treatment of major depressive disorder with high levels of anxiety (anxious depression): a pool analysis of 10 studies."""
4,vortioxetine,vortioxetine,definition,a novel antidepressant,antidepressant,"""vortioxetine: a novel antidepressant for the treatment of major depressive disorder."""
5,esketamine,intranasal esketamine,treats,treatment-resistant depression,trd,"""intranasal esketamine: a novel drug for treatment-resistant depression."""
6,esketamine,intranasal esketamine,overview,from origin to future implication in treatment-resistant depression,or-trd,"""intranasal esketamine: from origin to future implication in treatment-resistant depression."""
7,riluzole,riluzole combination therapy,treats,moderate-to-severe major depressive disorder,msp-mdd,"""riluzole combination therapy for moderate-to-severe major depressive disorder: a randomized, double-blind, placebo-controlled trial."""
0,ect,electroconvulsive therapy,definition,a medical treatment for severe major depressive disorder,smd treatment,"""electroconvulsive therapy is a medical treatment for severe major depressive disorder"""
1,ect,electroconvulsive therapy,treats,severe major depressive disorder,smd,"""electroconvulsive therapy is a medical treatment for severe major depressive disorder"""
2,ect,electroconvulsive therapy,associated with,psychiatric readmissions in us hospitals,psychiatric readmissions,"""association of electroconvulsive therapy with psychiatric readmissions in us hospitals"""
3,ect,electroconvulsive therapy,benefits,improvement in patient with treatment-resistant smd,treatment-resistant smd improvement,"""improvement after two sessions of electroconvulsive therapy predicts final remission in inpatients with major depression"""
4,ect,electroconvulsive therapy,side effects,risk of dementia,dementia risk,"""electroconvulsive therapy and risk of dementia - a nationwide cohort study in taiwan."""
5,ect,electroconvulsive therapy,highly effective,major depressive disorder with executive dysfunction,mdd with executive dysfunction,"""problem-solve therapy vs supportive therapy in geriatric major depression with executive dysfunction"""
6,exercise,exercise as medicine,definition,a guideline for the treatment of depression recommending physical activity,depression treatment guideline,"""portuguese and brazilian guideline for the treatment of depression: exercise as medicine."""
7,exercise,exercise as medicine,treats,severe major depressive disorder,smd,"""exercise and severe major depression: effect on symptom severity and quality of life at discharge in an inpatient cohort."""
8,exercise,exercise as medicine,associated with,improved quality of life in smd,quality of life improvement,"""exercise and severe major depression: effect on symptom severity and quality of life at discharge in an inpatient cohort."""
0,ect,electroconvulsive therapy,treats,major depressive disorder,mdd,effect of electroconvulsive therapy on depression and its potential mechanism
1,rtms,repetitive transcranial magnetic stimulation,treats,major depressive disorder,mdd,recover from depression with repetitive transcranial magnetic stimulation (rtms): a systematic review and meta-analysis of preclinical study
2,tdcs,transcranial direct current stimulation,treats,major depressive disorder,mdd,clinical research with transcranial direct current stimulation (tdcs): challenge and future direction
3,vns,vagus nerve stimulation,treats,treatment-resistant major depressive disorder,trd,vagus nerve stimulation and depression
4,ect,electroconvulsive therapy,side effects,memory loss,memory loss,"electroconvulsive therapy: mechanism of action, recent advances and limitations"
5,mst,magnetic seizure therapy,treats,major depressive disorder,mdd,magnetic seizure therapy improves mood in refractory major depression
6,light therapy,light therapy,treats,seasonal affective disorder,sad,the efficacy of light therapy in the treatment of mood disorders: a review and meta-analysis of the evidence
0,mirtazapine,mirtazapine,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",various antidepressants,"mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odds ratio [or] 1·39), fluoxetine (1·37), fluvoxamine (1·41), paroxetine (1·35), and reboxetine (2·03)."
1,escitalopram,escitalopram,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",various antidepressants,"mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odds ratio [or] 1·33), fluoxetine (1·32), fluvoxamine (1·35), paroxetine (1·30), and reboxetine (1·95)."
2,venlafaxine,venlafaxine,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",various antidepressants,"mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odds ratio [or] 1·30), fluoxetine (1·28), fluvoxamine (1·30), paroxetine (1·27), and reboxetine (1·89)."
3,sertraline,sertraline,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",various antidepressants,"mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odds ratio [or] 1·27), fluoxetine (1·25), fluvoxamine (1·27), paroxetine (1·22), and reboxetine (1·85)."
4,reboxetine,reboxetine,less effective,all other tested antidepressants,antidepressants,reboxetine was significantly less efficacious than all the other antidepressants tested.
5,"escitalopram, sertraline","escitalopram, sertraline",comparable to,each other in acceptability,acceptability,"escitalopram and sertraline show the best profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."
6,major depression,acute treatment of unipolar major depression,treatment options,"bupropion, citalopram, duloxetine, escitalopram, fluoxetine, fluvoxamine, milnacipran, mirtazapine, paroxetine, reboxetine, sertraline, venlafaxine",12 new-generation antidepressants,"for our analysis, we include only randomised control trials that compare any of the following 12 new-generation antidepressants (bupropion, citalopram, duloxetine, escitalopram, fluoxetine, fluvoxamine, milnacipran, mirtazapine, paroxetine, reboxetine, sertraline, and venlafaxine) as monotherapy in the acute-phase treatment of adults with unipolar major depression."
0,multiple-treatment meta-analysis,multiple-treatment meta-analysis,definition,a method combining direct and indirect evidence for any given pair of treatments to assess their efficacy and acceptability.,method,this method combine direct and indirect evidence for any give pair of treatment.
1,markov chain monte carlo,markov chain monte carlo methods,used in,bayesian framework for multiple-treatment meta-analysis,bayesian framework,"second, we do a random-effect model within a bayesian framework use markov chain monte carlo method."
2,incoherence,incoherence,definition,the disagreement between direct and indirect evidence with a 95% ci exclude 1 in multiple-treatment meta-analysis.,disagreement,we defined incoherence as the disagreement between direct and indirect evidence with a 95% ci exclude 1.
3,fluoxetine,fluoxetine,example,antidepressant drug,antidepressant,"we express these use fluoxetine as reference drug, because it be the first among these 12 antidepressant to be market in europe and the usa."
4,efficacy and acceptability ranking,efficacy and acceptability ranking,overview,calculated based on the odds ratio for each antidepressant drug compared with an arbitrary common control group within multiple-treatment meta-analyses.,calculation method,we also assess the probability that each antidepressant drug be the most efficacious regiman [...] by calculate the or for each drug compare with an arbitrary common control group.
5,outcomes,outcomes,associated with,the total number of randomly assigned participants,participants,"the analysis be base on the total number of randomly assign participant, irrespective of how the original study investigator analyse the datum."
6,intention-to-treat basis,intention-to-treat basis,definition,"analysis based on the total number of randomly assigned participants, irrespective of how the original study investigators analysed the data.",analysis method,"responder to treatment be calculate on an intention-to-treat basis: the analysis be base on the total number of randomly assign participant, irrespective of how the original study investigator analyse the datum."
0,escitalopram,escitalopram,more effective,citalopram,citalopram,"""efficacy favour escitalopram over citalopram"""
1,citalopram,citalopram,more effective,"reboxetine, paroxetine","reboxetine, paroxetine","""citalopram over reboxetine and paroxetine"""
2,mirtazapine,mirtazapine,more effective,"fluoxetine, venlafaxine","fluoxetine, venlafaxine","""mirtazapine over fluoxetine and venlafaxine"""
3,sertraline,sertraline,more effective,fluoxetine,fluoxetine,"""sertraline over fluoxetine"""
4,venlafaxine,venlafaxine,more effective,"fluoxetine, fluvoxamine","fluoxetine, fluvoxamine","""venlafaxine over fluoxetine and fluvoxamine"""
5,fluoxetine,fluoxetine,side effects,less side effects than reboxetine,reboxetine,"""fluoxetine be well tolerate than reboxetine"""
6,citalopram,citalopram,side effects,less side effects than sertraline,sertraline,"""citalopram than sertraline"""
7,"escitalopram, mirtazapine, sertraline, venlafaxine","escitalopram, mirtazapine, sertraline, venlafaxine",more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","""escitalopram, mirtazapine, sertraline, and venlafaxine be significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"""
8,reboxetine,reboxetine,less effective,all other antidepressants studied,all other antidepressants,"""reboxetine be significantly less efficacious than all the other 11 antidepressant."""
9,"duloxetine, paroxetine","duloxetine, paroxetine",side effects,less well tolerate than escitalopram and sertraline,"escitalopram, sertraline","""in terms of acceptability, duloxetine and paroxetine be less well tolerate than escitalopram and sertraline."""
0,mirtazapine,mirtazapine,among,the most efficacious treatments,most efficacious treatments,"""mirtazapine, escitalopram, venlafaxine, and sertraline be among the most efficacious treatment"""
1,escitalopram,escitalopram,among,the most efficacious treatments,most efficacious treatments,"""mirtazapine, escitalopram, venlafaxine, and sertraline be among the most efficacious treatment"""
2,venlafaxine,venlafaxine,among,the most efficacious treatments,most efficacious treatments,"""mirtazapine, escitalopram, venlafaxine, and sertraline be among the most efficacious treatment"""
3,sertraline,sertraline,among,the most efficacious treatments,most efficacious treatments,"""mirtazapine, escitalopram, venlafaxine, and sertraline be among the most efficacious treatment"""
4,escitalopram,escitalopram,among,the best tolerated antidepressants,best tolerated antidepressants,"""escitalopram, sertraline, bupropion, and citalopram be well tolerate than the other remain antidepressant"""
5,sertraline,sertraline,among,the best tolerated antidepressants,best tolerated antidepressants,"""escitalopram, sertraline, bupropion, and citalopram be well tolerate than the other remain antidepressant"""
6,bupropion,bupropion,among,the best tolerated antidepressants,best tolerated antidepressants,"""escitalopram, sertraline, bupropion, and citalopram be well tolerate than the other remain antidepressant"""
7,citalopram,citalopram,among,the best tolerated antidepressants,best tolerated antidepressants,"""escitalopram, sertraline, bupropion, and citalopram be well tolerate than the other remain antidepressant"""
8,reboxetine,reboxetine,not effective,as a routine first-line acute treatment for major depression,first-line acute treatment for major depression,"""therefore, reboxetine should not be use as a routine first-line acute treatment for major depression"""
9,mirtazapine,mirtazapine,comparably effective,in terms of efficacy but not the best for overall acceptability,efficacy but not best acceptability,"""these result indicate that two of the most efficacious treatment (mirtazapine and venlafaxine) might not be the good for overall acceptability"""
10,venlafaxine,venlafaxine,comparably effective,in terms of efficacy but not the best for overall acceptability,efficacy but not best acceptability,"""these result indicate that two of the most efficacious treatment (mirtazapine and venlafaxine) might not be the good for overall acceptability"""
11,antidepressants,new-generation antidepressants,treatment options,for acute treatment of major depression,acute treatment of major depression,"""our finding might help to choose among new-generation antidepressant for acute treatment of major depression"""
0,placebo-controlled trials,placebo-controlled trials,definition,"trials mainly designed for regulatory approval purpose; to meet both ethical and safety requirements, they tend to recruit patients with a mild form of disease.",purpose & recruitment criteria,"""placebo-controlled trials are mainly designed for regulatory approval purposes; to meet both ethical and safety requirements, they tend to recruit patients with a mild form of disease."""
1,sponsorship bias,sponsorship bias,definition,the bias associated with the commercial interests of industrial sponsors,bias source,"""evidence exists of the presence of sponsorship bias (ie, the bias associated with the commercial interests of industrial sponsors) in medicine."""
2,sertraline,sertraline,highly effective,new-generation antidepressant drugs,antidepressants,"""our analysis suggests that sertraline is better than other new-generation drugs in terms of efficacy and acceptability."""
3,antidepressants,antidepressants,associated with,potential sponsorship bias,sponsorship bias,"""because most studies comparing the new antidepressants (mirtazapine, escitalopram, bupropion, and duloxetine) were done by the pharmaceutical companies marketing these compounds, this might be a source of bias."""
4,antidepressant trials,antidepressant trials,results,varying response to placebo,response variation,"""response to placebo across antidepressant trials has been shown to vary and have clearly increased in the past two decades, with a similar increase occurring in the fraction of patients responding to active medication as well."""
5,placebo response,placebo response,associated with,inflation of baseline severity,cause,"""inflation of baseline severity, for example, is likely to be a cause for the temporal rise in placebo response rate, which increases the proportion of failed trials."""
0,bupropion xl,bupropion xl,comparable to,escitalopram,escitalopram,"bupropion xl compare with escitalopram : eff ect on sexual functioning and antidepressant efficacy in two randomize , double - blind , placebo control study."
1,venlafaxine,venlafaxine,comparable to,fluoxetine,fluoxetine,a double - blind comparison of venlafaxine and fluoxetine in patient hospitalize for major depression and melancholia.
2,milnacipran,milnacipran,comparable to,fluvoxamine,fluvoxamine,"antidepressant efficacy and tolerability of milnacipran, a dual serotonin and noradrenaline reuptake inhibitor: a comparison with fluvoxamine."
3,bupropion sr,bupropion sustain release,comparable to,sertraline,sertraline,sexual dysfunction associate with the treatment of depression: a placebo - control comparison of bupropion sustain release and sertraline treatment.
4,escitalopram,escitalopram (10 mg/day),comparable to,citalopram (20 mg/day),citalopram,"a randomize, double - blind, 24 - week study of escitalopram (10 mg/day) versus citalopram (20 mg/day) in primary care patient with major depressive disorder."
5,paroxetine,paroxetine,second-line treatment,major depressive disorder,major depressive disorder,a placebo - control comparison of the antidepressant efficacy and effect on sexual functioning of sustained - release bupropion and sertraline.
6,duloxetine,duloxetine,specific efficacy in treating,major depressive disorder,major depressive disorder,duloxetine in the acute and long - term treatment of major depressive disorder: a placebo- and paroxetine - control trial.
7,venlafaxine xr,venlafaxine xr,comparable to,paroxetine,paroxetine,a comparison of once - daily venlafaxine xr and paroxetine in depressed outpatient treat in general practice.
8,sertraline,sertraline,comparable to,venlafaxine xr,venlafaxine xr,"randomize, double - blind comparison of venlafaxine and sertraline in outpatient with major depressive disorder."
9,escitalopram,escitalopram,comparable to,venlafaxine xr,venlafaxine xr,a randomise study compare escitalopram with venlafaxine xr in primary care patient with major depressive disorder.
10,escitalopram,escitalopram,comparable to,citalopram,citalopram,"prospective, multicentre, randomize, double - blind study of the efficacy of escitalopram versus citalopram in outpatient treatment of major depressive disorder."
11,venlafaxine,venlafaxine,comparable to,sertraline,sertraline,probe the safety of medication in the frail elderly: evidence from a randomize clinical trial of sertraline and venlafaxine in depressed nursing home resident.
0,anxious depression,anxious depression,associated with,greater severity of depressive illness and functional impairment,greater severity and impairment,"in patients with high levels of anxiety accompanying major depression, greater severity of depressive illness and functional impairment have been reported."
1,anxious depression,anxious depression,associated with,greater illness chronicity,greater chronicity,"in patients with high levels of anxiety accompanying major depression, greater illness chronicity has been reported."
2,anxious depression,anxious depression,associated with,an increased risk of suicidality,increased suicidality risk,"in patients with high levels of anxiety accompanying major depression, an increased risk of suicidality has been reported."
3,anxious depression,anxious depression,definition,major depressive disorder with high levels of anxiety symptoms,mdd with high anxiety,"anxious depression was defined as major depressive disorder with high levels of anxiety symptoms, as reflected in a ham-d anxiety/somatization factor score ≥7."
4,ham-d,ham-d anxiety/somatization factor score,definition,measures anxiety/somatization in depressed patients,anxiety/somatization measure,"the anxiety/somatization factor, derived from cleary and guy's factor analysis of the ham-d scale, includes six items from the original 17-item version: the items for psychic anxiety, somatic anxiety, gastrointestinal somatic symptoms, general somatic symptoms, hypochondriasis, and insight."
5,citalopram,citalopram,first-line treatment,major depressive disorder,mdd,"a total of 2,876 adult outpatients with major depressive disorder, enrolled from 18 primary and 23 psychiatric care sites, received citalopram in level 1 of star*d."
6,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"in level 1 of star*d, 53.2% of patients had anxious depression."
7,anxious depression,anxious depression,results,lower remission rates and longer time to remission compared to nonanxious depression,lower remission and longer remission time,remission was significantly less likely and took longer to occur in these patients than in those with nonanxious depression.
8,anxious depression,anxious depression,results,"significantly greater side effects frequency, intensity, and burden",greater side effects,"ratings of side effect frequency, intensity, and burden, as well as the number of serious adverse events, were significantly greater in the anxious depression group."
9,anxious depression,anxious depression,definition,associated with poor acute outcomes following antidepressant treatment compared to nonanxious depression,poor outcomes post-treatment,anxious depression is associated with poorer acute outcomes than nonanxious depression following antidepressant treatment.
0,citalopram,citalopram,definition,a medication used in the treatment of major depressive disorder,treatment,"after an optimal trial of citalopram (based on dose and duration), patients whose symptoms respond or remit could enter the 12-month naturalistic follow-up phase"
1,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression be significantly more common than nonanxious depression among african americans than in other racial/ethnic group; among hispanic than non-hispanic; among those see in primary care setting than those in psychiatric care setting; among those who be unemployed than those who be employ; among those who be married, divorced, or widowed than among those who had never marry; and among those with less education, those with public insurance, and those with less income."
2,anxious depression,anxious depression,results,lower remission rates,lower remission rates,"remission rates be significantly low in patients with anxious depression, according to both the ham-d criterion (22.2% versus 33.4%) and the qids-sr criterion (27.5% versus 38.9%)"
3,side effects,side effects,associated with,discontinuation of citalopram,discontinuation,patients could discontinue citalopram before 12 weeks if intolerable side effects make a medication change necessary
4,citalopram,citalopram,side effects,permitting concomitant treatment,concomitant treatment,"concomitant treatment for current general medical condition, for associated symptom of depression (e.g., sleep and agitation), and for citalopram's side effects be permitted, based on clinical judgment, at study entry or during the treatment."
5,treatment duration,treatment duration with citalopram,details,"0, 2, 4, 6, 9, and 12 weeks, with an optional visit at week 14 if needed",schedule,"the protocol recommends treatment visit at 0, 2, 4, 6, 9, and 12 weeks, with an optional visit at week 14 if need"
6,safety assessment,safety assessment method for monitoring citalopram,definition,a multi-tiered approach involving several roles for monitoring side effects and adverse events,method,"safety assessment to monitor side effects and serious adverse event, a multi- tiered approach be used, involve the clinical research coordinator, the study clinician, the interactive voice response system, the clinical manager, safety officer, regional center director, and the national institute of mental health's data safety and monitoring board"
0,ad,anxious depression,associated with,"greater frequency, intensity, and burden of side effects than nonanxious depression",side effects burden,"""the anxious depression group have great a frequency, intensity, and burden of side ef- fect than the nonanxious depression group"""
1,ad,anxious depression,associated with,more serious adverse events than nonanxious depression,serious adverse events,"""as well as more serious adverse event"""
2,ad,anxious depression,associated with,more hospitalizations for general medical conditions compared with nonanxious depression,hospitalizations,"""notably, the num- ber of hospitalization for ge neral medical condition be strikingly different between the two group"""
