,subjsummary,subj,rel,obj,objsummary,ref
7,second-generation antidepressants,"bupropion, citalopram, duloxetine, escitalopram, fluoxetine, fluvoxamine, milnacipran, mirtazapine, paroxetine, reboxetine, sertraline, venlafaxine",treats,unipolar major depression in adults,unipolar major depression in adults,"we systematically review 117 randomise control trial (25 928 participant) from 1991 up to nov 30, 2007, which compare any of the follow antidepressant at therapeutic dose range for the acute treatment of unipolar major depression in adult: bupropion, citalopram, duloxetine, escitalopram, fluoxetine, fluvoxamine, milnacipran, mirtazapine, paroxetine, reboxetine, sertraline, and venlafaxine."
0,escitalopram,escitalopram,more effective,"citalopram, reboxetine, paroxetine, fluoxetine, fluvoxamine",several ads,"""efficacy favored escitalopram over citalopram; citalopram over reboxetine and paroxetine; mirtazapine over fluoxetine and venlafaxine; sertraline over fluoxetine; and venlafaxine over fluoxetine and fluvoxamine."""
1,mirtazapine,mirtazapine,more effective,"fluoxetine, venlafaxine",several ads,"""efficacy favored escitalopram over citalopram; citalopram over reboxetine and paroxetine; mirtazapine over fluoxetine and venlafaxine; sertraline over fluoxetine; and venlafaxine over fluoxetine and fluvoxamine."""
2,venlafaxine,venlafaxine,more effective,"fluoxetine, fluvoxamine",several ads,"""efficacy favored escitalopram over citalopram; citalopram over reboxetine and paroxetine; mirtazapine over fluoxetine and venlafaxine; sertraline over fluoxetine; and venlafaxine over fluoxetine and fluvoxamine."""
3,reboxetine,reboxetine,less effective,all the other 11 antidepressants,all ads,"""reboxetine was significantly less efficacious than all the other 11 antidepressants."""
4,fluoxetine,fluoxetine,less effective,"escitalopram, mirtazapine, sertraline, venlafaxine",ads appeared less effective,"""mirtazapine, escitalopram, venlafaxine, and sertraline were more efficacious than fluoxetine, and fluoxetine was..."""
5,escitalopram,escitalopram,comparable to,sertraline,sertraline,"""for dropout, fluoxetine was better tolerated than reboxetine, and citalopram than sertraline. overall, heterogeneity was moderate ... escitalopram and sertraline were well tolerated than duloxetine, fluvoxamine, paroxetine, and reboxetine."""
0,escitalopram,escitalopram,highly effective,major depression,major depression,"in term of response, escitalopram... more efficacious than... major depression."
1,sertraline,sertraline,highly effective,major depression,major depression,"in term of response, sertraline... more efficacious than... major depression."
2,venlafaxine,venlafaxine,highly effective,major depression,major depression,"in term of response, venlafaxine... more efficacious than... major depression."
3,mirtazapine,mirtazapine,highly effective,major depression,major depression,"in term of response, mirtazapine... more efficacious than... major depression."
4,reboxetine,reboxetine,not effective,major depression,major depression,reboxetine should not be used as a routine first-line acute treatment for major depression.
5,escitalopram,escitalopram,benefits,balance between efficacy and acceptability,efficacy and acceptability balance,escitalopram... might be the best choice when starting a treatment for moderate to severe major depression because they have the best possible balance between efficacy and acceptability.
6,sertraline,sertraline,comparable to,escitalopram,escitalopram,sertraline seems to be better than escitalopram because of its lower cost in most countries.
7,sertraline,sertraline,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",several antidepressants,"in term of response, sertraline more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine for major depression."
8,escitalopram,escitalopram,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",several antidepressants,"in term of response, escitalopram more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine for major depression."
9,venlafaxine,venlafaxine,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",several antidepressants,"in term of response, venlafaxine more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine for major depression."
0,all depression,all depression,definition,"a mental health disorder characterized by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life",mental health disorder,"depression: management of depression in primary and secondary care. london: national institute for clinical excellence, 2007."
1,snri,serotonin and noradrenaline reuptake inhibitors (snri),definition,a class of medication used in the treatment of major depressive disorder that inhibits the reuptake of serotonin and noradrenaline,medication,"milnacipran, a new serotonin and noradrenaline reuptake inhibitor: an overview of its antidepressant activity and clinical tolerability. intern clin psychopharmacol 1997; 12: 99–108."
2,venlafaxine,venlafaxine,comparable to,selective serotonin reuptake inhibitors (ssri) and other antidepressants,medications,efficacy and tolerability of venlafaxine compared with selective serotonin reuptake inhibitors and other antidepressants: a meta-analysis. br j psychiatry 2002; 180: 396–404.
3,sga,second-generation antidepressants,definition,"a category of medications for major depressive disorder that includes both selective serotonin reuptake inhibitors (ssris) and serotonin and noradrenaline reuptake inhibitors (snris) among others, known for their improved side effect profile over first-generation antidepressants",medications,efficacy and safety of second-generation antidepressants in the treatment of major depressive disorder. ann intern med 2005; 143: 415–26.
4,ssri,selective serotonin reuptake inhibitors (ssri),associated with,increased risk of sexual dysfunction,side effect,lack of sexual dysfunction with the selective noradrenaline reuptake inhibitor reboxetine during treatment for major depressive disorder. int clin psychopharmacol 2003; 18: 151–56.
5,bupropion,bupropion,benefits,patients with depression requiring an antidepressant with fewer sexual side effects,specific patient group,"a comparison of the effect on sexual functioning of bupropion xl, escitalopram and placebo in patients with major depression. san diego, can: 17th annual us psychiatric and mental health congress, nov 18–21, 2004. abstract no 105."
0,anxious depression,anxious depression,definition,major depressive disorder with high levels of anxiety symptoms,mdd with anxiety,'anxious depression be define as major depressive disorder with high level of anxiety symptom'
1,nonanxious depression,nonanxious depression,definition,major depressive disorder without high levels of anxiety symptoms,mdd without anxiety,implied from 'anxious depression be define as major depressive disorder with high level of anxiety symptom' and context
2,anxious depression,anxious depression,associated with,poor acute outcome following antidepressant treatment,poor treatment outcome,'anxious depression be associate with poor acute outcome than nonanxious depression follow antidepressant treatment'
3,citalopram,citalopram,first-line treatment,level 1 of star*d for major depressive disorder,level 1 star*d mdd,"patient with major depressive disorder , en- roll from 18 primary and 23 psychiatric care site , receive citalopram in level 1 of star*d"
4,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"in level 1 of star*d , 53.2 % of patient have anxious depression"
5,bupropion sr,sustain-release bupropion,second-line treatment,nonremitters to citalopram in level 2 of star*d,level 2 star*d,'patient who do not remit with or tolerate citalopram be randomly assign either to switch to sustain - release bupropion'
6,anxious depression,anxious depression,symptom,increased risk of suicidality,suicidality risk,"in patient with high level of anxietyaccompanye major depression , great severity of de - pressive illness and functional impairment , great ill - ness chronicity, and an increase risk of suicidality have be report"
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression be significantly more common than nonanxious depression among african americans than in other racial/ethnicgroup; among hispanic than non-hispanic; among those see in primary care setting than those in psychiatric care setting; among those who be unemployed than those who be employ; among those who be marrie, divorced, or widow than among those who had never marry; and among those with less education, those with public insurance, and those with less income."
1,anxious depression,anxious depression,associated with,more medical comorbidity,more medical comorbidity,patient with anxious depression be significantly more likely than those with nonanxious depression to report melancholic or atypical symptom features and to have more medical comorbidity.
2,anxious depression,anxious depression,associated with,greater likelihood of reported suicidal ideation,greater likelihood of reported suicidal ideation,"anxious depression be associate with a great likelihood of reporte suicidal ideation on the ham-d, a personal history of attempt suicide, and a family history of drug abuse."
3,anxious depression,anxious depression,associated with,greater overall number of comorbid axis i condition,greater overall number of comorbid axis i condition,"individual with anxious major depressive disorder be more likely to meet psychiatric diagnostic screening questionnaire criterion for generalize anxiety disorder, panic disorder, social phobia, obsessive-compulsive disorder, posttraumatic stress disorder, agoraphobia, hypochondriasis, and somatoform disorder and to have a great overall number of comorbid axis i condition."
4,anxious depression,anxious depression,results,lower remission rates,lower remission rates,"remission rate be significantly low in patient with anxious depression, according to both the ham-d criterion (22.2% versus 33.4%) and the qids-sr criterion (27.5% versus 38.9%). response rates were also significantly low for patient with anxious depression (41.7% versus 52.8%)."
5,anxious depression,anxious depression,side effects,"greater frequency, intensity, and burden of side effects","greater frequency, intensity, and burden of side effects","the anxious depression group have great a frequency, intensity, and burden of side effect than the nonanxious depression group."
6,citalopram,citalopram,treats,major depressive disorder,major depressive disorder,patient with anxious depression be less likely to respond or to remit with citalopram treatment than those with nonanxious depression.
0,anxious depression,anxious depression,associated with,"higher side effect frequency, intensity, and burden",side effects,"side effect frequency , intensity , and burden in level 1 be great among patient with anxious depression thanamong those with nonanxious depression"
1,anxious depression,anxious depression,associated with,serious adverse psychiatric events,psychiatric events,"as be seriousadverse event , include those of a psychiatric nature"
2,anxious depression,anxious depression,associated with,shorter time in treatment and on the final citalopram dosage,time in treatment,both time in treatment and time on the final citalopram dosage be significantly low in the anxiousthan in the nonanxious depression group
3,anxious depression,anxious depression,definition,a subtype of major depressive disorder with prominent anxiety features,subtype of mdd,"anxious depression appear to be associ - ate with a characteristic clinical profile , independent ofseverity of depression"
4,anxious depression,anxious depression,associated with,specific treatment responsivity,treatment response,our result be consistent with the view that anxious de - pression be associate with specific treatment responsivity
5,anxious depression,anxious depression,less effective,antidepressant treatment in achieving remission compared to nonanxious depression,antidepressant efficacy,patient with this subtype be less likely to achieve remission than those with nonanxious depression after antidepressant treatment
6,citalopram,citalopram,treats,anxious depression symptoms,anxious depression,"ms . d continue to report a number of physical symptom throughout the ﬁrst 4 week of treatment , but she be able to remain on citalopram . after 6 week of combine treatment with citalopram and a benzodiazepine , ms . d report a signiﬁcant improvement in all her symptom , and remission be   achieve at the end of the 10th week of treatment ."
7,anxious depression,anxious depression,associated with,poorer treatment outcome with antidepressant monotherapy,poorer treatment outcome,the association between anxious depression and poor treatment outcome withantidepressant monotherapy in level 1 of star*d hold trueregardless of how we define anxious depression
