,subjsummary,subj,rel,obj,objsummary,ref
1,"mirtazapine, escitalopram, venlafaxine, sertraline","mirtazapine, escitalopram, venlafaxine, sertraline",more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","mirtazapine, escitalopram, venlafaxine, and sertraline be significantly more efficacious than duloxetine (odd ratio [or] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."
2,reboxetine,reboxetine,less effective,all other tested antidepressants,other antidepressants,reboxetine be significantly less efficacious than all the other antidepressant tested.
3,"escitalopram, sertraline",escitalopram and sertraline,benefits,fewer discontinuations,fewer discontinuations,"escitalopram and sertraline show the good profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."
4,sertraline,sertraline,first-line treatment,moderate to severe major depressive disorder in adults,mdd in adults,"sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."
5,dosage comparability,comparability of dosage,definition,assessment of equivalent dosing ranges among new-generation antidepressants,dosing equity,"in addition to internal and external validity, we assess the comparability of dosage."
6,antidepressants,antidepressants,example,"bupropion, citalopram, duloxetine, escitalopram, fluoxetine, fluvoxamine, milnacipran, mirtazapine, paroxetine, reboxetine, sertraline, venlafaxine",12 new-generation antidepressants,"we include only randomise control trial that compare any of the follow 12 new - generation antidepressant (bupropion , citalopram , duloxetine , escitalopram , fluoxetine , fluvoxamine , milnacipran , mirtazapine , paroxetine , reboxetine , sertraline , and venlafaxine) as monotherapy in the acute - phase treatment of adult with unipolar major depression."
0,escitalopram,escitalopram,more effective,"citalopram, reboxetine, paroxetine, fluoxetine, fluvoxamine","citalopram, reboxetine, paroxetine, fluoxetine, fluvoxamine","""efficacy favour escitalopram over citalopram; citalopram over reboxetine and paroxetine; mirtazapine over fluoxetine and venlafaxine; sertraline over fluoxetine; and venlafaxine over fluoxetine and fluvoxamine."""
1,mirtazapine,mirtazapine,more effective,"fluoxetine, venlafaxine","fluoxetine, venlafaxine","""efficacy favour escitalopram over citalopram; citalopram over reboxetine and paroxetine; mirtazapine over fluoxetine and venlafaxine; sertraline over fluoxetine; and venlafaxine over fluoxetine and fluvoxamine."""
2,sertraline,sertraline,more effective,fluoxetine,fluoxetine,"""efficacy favour escitalopram over citalopram; citalopram over reboxetine and paroxetine; mirtazapine over fluoxetine and venlafaxine; sertraline over fluoxetine; and venlafaxine over fluoxetine and fluvoxamine."""
3,venlafaxine,venlafaxine,more effective,"fluoxetine, fluvoxamine","fluoxetine, fluvoxamine","""efficacy favour escitalopram over citalopram; citalopram over reboxetine and paroxetine; mirtazapine over fluoxetine and venlafaxine; sertraline over fluoxetine; and venlafaxine over fluoxetine and fluvoxamine."""
4,fluoxetine,fluoxetine,less well tolerated,reboxetine,reboxetine,"for dropout, fluoxetine was well tolerated than reboxetine"
5,citalopram,citalopram,less well tolerated,sertraline,sertraline,"for dropout, citalopram than sertraline"
6,duloxetine,duloxetine,less well tolerated,"escitalopram, sertraline","escitalopram, sertraline","in terms of acceptability, duloxetine and paroxetine were less well tolerated than escitalopram and sertraline"
7,paroxetine,paroxetine,less well tolerated,"escitalopram, sertraline","escitalopram, sertraline","in terms of acceptability, duloxetine and paroxetine were less well tolerated than escitalopram and sertraline"
8,fluvoxamine,fluvoxamine,less well tolerated,"citalopram, escitalopram, sertraline","citalopram, escitalopram, sertraline","fluvoxamine less well tolerated than citalopram, escitalopram, and sertraline"
9,venlafaxine,venlafaxine,less well tolerated,escitalopram,escitalopram,venlafaxine less well tolerated than escitalopram
10,reboxetine,reboxetine,less effective,all the other 11 antidepressant,all other antidepressants,reboxetine was significantly less efficacious than all the other 11 antidepressants.
0,reboxetine,reboxetine,not effective,major depression,major depression,"therefore, reboxetine should not be use as a routine first-line acute treatment for major depression."
1,mirtazapine,mirtazapine,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine",several antidepressants,"in terms of response, mirtazapine, escitalopram, venlafaxine, and sertraline be more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine."
2,escitalopram,escitalopram,treats,major depression,major depression,"here, we do not investigate important outcome, such as side-effect, toxic effect, discontinuation symptom, and social functioning. however, the most important clinical implication of the result be that escitalopram and sertraline might be the good choice when start a treatment for moderate to severe major depression because they have the good possible balance between efficacy and acceptability."
3,sertraline,sertraline,highly effective,major depression,major depression,our analysis suggest that sertraline be better than other new-generation drug in terms of efficacy and acceptability
4,escitalopram,escitalopram,more effective,other new-generation antidepressants,other antidepressants,"in terms of acceptability, escitalopram, sertraline, citalopram, and bupropion be well tolerate than other new-generation antidepressant."
5,reboxetine,reboxetine,least effective,other antidepressants,other antidepressants,"in terms of acceptability, reboxetine be the least tolerate agent among the 12 antidepressant and be significantly less effective than all the other 11 drug."
0,milnacipran,milnacipran,definition,a new serotonin and noradrenaline reuptake inhibitor,snri,"""milnacipran, a new serotonin and noradrenaline reuptake inhibitor: an overview of its antidepressant activity and clinical tolerability."""
1,venlafaxine,venlafaxine,definition,compares with selective serotonin reuptake inhibitors,ssris,"""efficacy and tolerability of venlafaxine compared with selective serotonin reuptake inhibitors and other antidepressants: a meta-analysis."""
2,second-generation antidepressants,second-generation antidepressants,treats,major depressive disorder,mdd,"""efficacy and safety of second-generation antidepressants in the treatment of major depressive disorder."""
3,fluoxetine,fluoxetine,comparable to,other antidepressants,antidepressants,"""are all antidepressants really the same? the case of fluoxetine: a systematic review."""
4,antidepressants,antidepressants that combine serotonergic and noradrenergic mechanisms of action,more effective,selective serotonin reuptake inhibitors in treating major depressive disorder,ssris,"""are antidepressant drugs that combine serotonergic and noradrenergic mechanisms of action more effective than the selective serotonin reuptake inhibitors in treating major depressive disorder? a meta-analysis of studies of newer agents."""
5,venlafaxine,venlafaxine,side effects,sexual dysfunction,sexual dysfunction,"""lack of sexual dysfunction with the selective noradrenaline reuptake inhibitor reboxetine during treatment for major depressive disorder."""
6,bupropion xl,bupropion xl,side effects,sexual functioning,sexual functioning,"""a comparison of the effect on sexual functioning of bupropion xl, escitalopram, and placebo in patients with major depression."""
0,anxious depression,anxious depression,subset,major depressive disorder,mdd,about half of outpatients with major depressive disorder also have clinically meaningful levels of anxiety
1,anxious depression,anxious depression,associated with,poor acute outcome than nonanxious depression following antidepressant treatment,poor outcomes,anxious depression is associated with poorer acute outcomes than nonanxious depression following antidepressant treatment
2,mdd,major depressive disorder,symptom,"anxiety, nervousness, and somatic correlates of these states",anxiety symptoms,"patients with major depressive disorder often also suffer from anxiety, nervousness, and the somatic correlates of these states"
3,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"in lifetime comorbidity rates of anxiety disorders among outpatients with major depression, anxious depression is reported"
4,anxious depression,anxious depression,results,remission significantly less likely and longer to occur,longer remission times,remission was significantly less likely and took longer to occur in patients with anxious depression than in those with nonanxious depression
5,citalopram,citalopram,first-line treatment,major depressive disorder in star*d level 1,mdd in star*d l1,"a total of 2,876 adult outpatients with major depressive disorder received citalopram in level 1 of star*d"
6,side effects,side effects,associated with,anxious depression treatment with citalopram in star*d,anxious depression treatment,"ratings of side effect frequency, intensity, and burden, as well as the number of serious adverse events, were significantly greater in the anxious depression group"
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression be significantly more common than nonanxious depression among african americans than in other racial/ethnicgroup ; among hispanic than non - hispanic ; amongthose see in primary care setting than those in psychiatric care setting ; among those who be unemployed thanthose who be employ ; among those who be mar - rie, divorced, or widow than among those who hadnever marry ; and among those with less education, those with public insurance, and those with less income."
1,anxious depression,anxious depression,associated with,"greater likelihood of reported suicidal ideation, personal history of attempted suicide, family history of drug abuse","suicidal ideation, attempted suicide, drug abuse","anxious depression be associated with a great likelihood of reported suicidal ideation on the ham - d, a personal history of attempted suicide, and a family history of drug abuse."
2,anxious depression,anxious depression,associated with,more medical comorbidity,medical comorbidity,patient with anxious depression be significantly more likely than those with nonanxious depression to have more medical comorbidity.
3,citalopram,citalopram,treats,major depressive disorder,major depressive disorder,"overall, they also take long to remit. this association between anxious depression and poor treatment outcome with citalopram hold true regardless of how we define anxious depression."
4,anxious depression,anxious depression,results,lower remission and response rates with citalopram treatment,lower remission/response rates,"remission rate be significantly lower in patient with anxious depression, according to both the ham - d criterion (22.2 % versus 33.4 % ) and the qids - sr criterion (27.5 % versus 38.9 %). response rates were also significantly lower for patient with anxious depression (41.7 % versus 52.8 %)."
5,anxious depression,anxious depression,associated with,"greater frequency, intensity, and burden of side effects than nonanxious depression",greater side effects,"the anxious depression group have greater frequency, intensity, and burden of side effects than the nonanxious depression group, as well as more serious adverse event."
6,anxious depression,anxious depression,associated with,more psychiatric and general medical comorbidities,psychiatric/medical comorbidities,"individual with anxious major depressive disorder be more likely to meet psychiatric diagnostic screening questionnaire criterion for generalize anxiety disorder, panic disorder, social phobia, obsessive-compulsive disorder, posttraumatic stress disorder, agoraphobia, hypochondriasis, and somatoform disorder and to have a greater overall number of comorbid axis i condition."
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression --> more common than -> nonanxious depression -> in -> african american group, hispanics, primary care patients, unemployed, married then divorced/widowed, less, education, public insurance, lower-income"
1,anxious depression,anxious depression,associated with,higher side effect burden,higher side effect burden,"side effect frequency, intensity, and burden in level 1 be great among patient with anxious depression thanamong those with nonanxious depression"
2,anxious depression,anxious depression,associated with,serious adverse events,serious adverse events,"as be serious adverse event, include those of a psychiatric nature"
3,anxious depression,anxious depression,less effective,antidepressant treatment,antidepressant treatment,patient with this subtype be less likely to achieve remission than those with nonanxious depression after antidepressant treatment
4,remission,remission,benefits,patients without residual symptoms,patients without residual symptoms,this study have several implication for the recognition and diagnosis ofanxious depression
5,anxious depression,anxious depression,definition,subtype of major depressive disorder,subtype of mdd,our result also suggestthe need for additional emphasis on the measurement ofsymptom of anxiety during the acute management ofpatient with major depression
6,ham-d,ham-d,definition,measure severity of anxiety symptoms,measure of anxiety symptoms,our definition of anxious depression be base onthe severity of anxiety symptom as measure by the ham - d anxiety / somatization factor
7,citalopram,citalopram,treats,anxious depression,anxious depression,both time in treatment and time on the final citalopram dosage be significantly low in the anxiousthan in the nonanxious depression group
8,benzodiazepine,benzodiazepine,treats,worsening of insomnia and nervousness in anxious depression,insomnia and nervousness,"a benzodiazepine be prescribe, which bring about a signiﬁcant improvement in her insomnia and agitation"
9,anxious depression,anxious depression,associated with,physical symptom sensitivity,physical symptom sensitivity,perhaps patient whose illness include anxious feature be more sensitive to somatic change occur during antidepressant treatment
