,subjsummary,subj,rel,obj,objsummary,ref
7,antidepressants,all antidepressants,side effects,"nausea, vomiting, sexual dysfunction, sedation, priapism, cardiotoxicity",common side effects,"""nausea and vomiting are the most common reason for treatment discontinuation; sexual dysfunction, sedation, priapism, and cardiotoxicity are also reported."""
8,esketamine,esketamine,definition,approved by the united states food and drug administration in march 2019 for treatment-resistant depression,treatment,"""it was approved by the united states food and drug administration in march 2019 for treatment-resistant depression."""
0,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depressive disorder (mdd),mdd,"""most guideline currently recommend ssris as the first-line treatment for patients with major depression"""
1,ect,electroconvulsive therapy (ect),highly effective,major depressive disorder (mdd),mdd,"""ect be arguably the most effective treatment modality in psychiatry"""
2,cbt,cognitive-behavioral therapy (cbt),first-line treatment,mild to moderate major depressive disorder (mdd),mild to moderate mdd,"""two specific psychotherapeutic methods be recommended: cognitive-behavioral therapy (cbt)"""
3,psychotherapy,psychotherapy,benefits,patients with depression,patients with depression,"""psychotherapy be effective for treating depression and improving patient’s quality of life"""
4,maois,monoamine oxidase inhibitors (maois),less commonly used,major depressive disorder (mdd),mdd,"""the use of maois be generally restricted to patients who do not respond to other treatments"""
5,ketamine,ketamine,specific efficacy in treating,treatment-resistant major depressive disorder (mdd),treatment-resistant mdd,"""intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression"""
6,ipt,interpersonal therapy (ipt),first-line treatment,mild to moderate major depressive disorder (mdd),mild to moderate mdd,"""ipt, like cbt, be a first-line treatment for mild to moderate major depressive episode in adult"""
7,psychoeducation,psycho-educational intervention,goal,"improve the clinical course, treatment adherence, and psychosocial function in patients with depression",improve clinical course and treatment adherence in depression,"""psycho-education in improving the clinical course, treatment adherence, and psychosocial function in patients with depression"""
8,maois,monoamine oxidase inhibitors (maois),comparable to,tricyclic antidepressants (tcas),tcas,"""trials have demonstrated that maois' efficacy be comparable to that of tricyclic antidepressants (tcas)"""
9,tdcs,transcranial direct current stimulation (tdcs),less effective,antidepressants and repetitive transcranial magnetic stimulation (rtms),antidepressants and rtms,"""its effect remain lower than that of antidepressants [133] and rtms [134]"""
0,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depression,mdd,most guideline currently recommend ssris as the first-line treatment for patients with major depression.
1,ect,electroconvulsive therapy (ect),highly effective,major unipolar depression,mud,"ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support."
2,ipt,interpersonal therapy (ipt),first-line treatment,mild to moderate major depressive episode in adults,mdd,"ipt, like cbt, be a first-line treatment for mild to moderate major depressive episode in adults."
3,rtms,repetitive transcranial magnetic stimulation (rtms),highly effective,depression,depression,recent literature show a significant difference between rtms and fictitious stimulation regard its improvement in depressive symptom.
4,maois,monoamine oxidase inhibitors (maois),less commonly used,depression,depression,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effects, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage. consequently, maois have become less commonly used over time."
5,phys. ex,physical exercise,recommendation,depression,depression,"most guideline for treating depression, including the national institute for health and care excellence, recommend that depress patients perform regular physical activity to alleviate symptoms and prevent relapse."
6,cbt,cognitive behavioral therapy (cbt),first-line treatment,depression,depression,cbt be one of the most well-documented and validated psychotherapeutic methods available and recommended in most guidelines as a first-line treatment.
7,ketamine,ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, cardiovascular symptoms",side effects,"common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blur vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptom."
8,ketamine,ketamine,not effective,daily clinical practice,clinical practice,"since ketamine be associate with a high risk of drug abuse and addiction, it can not be recommend in daily clinical practice."
9,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache",side effects,"they have elicit different tolerance rate and side effect - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache."
0,maois,monoamine oxidase inhibitors,definition,"the first drug defined as an antidepressant, later classified as a monoamine oxidase inhibitor",first antidepressant class,"""iproniazid be the first drug define as an antidepressant; it be later classify as a monoamine oxidase inhibitor (maoi)"""
1,ssris,selective serotonin reuptake inhibitors,first-line treatment,major depression,major depression,"""most guideline currently recommend ssris as the first-line treatment for patients with major depression"""
2,ssris,selective serotonin reuptake inhibitors,side effects,"sexual and digestive issues (nausea and loss of appetite), irritability, anxiety, insomnia, headache",adverse effects,"""they have elicited different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache"""
3,maois,monoamine oxidase inhibitors,treats,depression with atypical features,atypical depression,"""furthermore, maois have demonstrated specific efficacy in treating depression with atypical features, such as reactive mood, reverse neurovegetative symptoms, and sensitivity to rejection"""
4,ect,electroconvulsive therapy,definition,the most effective somatic therapy for depression in some specific situations,effective somatic therapy,"""electroconvulsive therapy be the most effective somatic therapy for depression in some specific situations"""
5,tcas,tricyclic antidepressants,more effective,ssris for hospitalized patients,hospitalized patient treatment,"""however, some tcas can be more effective than ssris when used to treat hospitalized patients"""
6,ssris,selective serotonin reuptake inhibitors,comparable to,"tcas, snris, maois",other antidepressants,"""ssris have demonstrated comparable efficacy to tcas, snris, and maois in treating major depression"""
7,snris,serotonin-norepinephrine reuptake inhibitors,second-line treatment,when patients do not respond to ssris,alternative to ssris,"""clinical guidelines commonly recommend prescribing an snri to patients who do not respond to ssris"""
8,ect,electroconvulsive therapy,highly effective,major unipolar depression,unipolar depression treatment,"""ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely supported"""
0,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,all depression,all depression,'most guideline currently recommend ssris as the first-line treatment for patient with major depression'
1,ect,electroconvulsive therapy (ect),results,reduces number of hospital readmissions,reduces readmissions,"'ect reduce the number of hospital readmission and lighten the burden of depression, lead to a well quality of life'"
2,ect,electroconvulsive therapy (ect),highly effective,major unipolar depression,unipolar depression,"'ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support'"
3,ketamine,ketamine,specific efficacy in treating,treatment-resistant unipolar and bipolar depression,resistant depression,"'ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation'"
4,ssris,selective serotonin reuptake inhibitors (ssris),side effects,sexual and digestive problems,"sexual, digestive issues","'they have elicit different tolerance rate and side effect - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache'"
5,maois,monoamine oxidase inhibitors (maois),less commonly used,due to side effects and dietary restrictions,due to side effects,"'due to their irreversible inhibition of monoamine oxidase, moais have numerous side effect, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage. consequently, moais have become less commonly use over time'"
6,mbct,mindfulness-based cognitive therapy (mbct),overview,combines elements of cbt with mindfulness-based stress reduction,"cbt, mindfulness",'mbct be a relatively recent technique that combine element of cbt with mindfulness-based stress reduction'
7,physical exercise,physical exercise,benefits,improvement in quality of life and symptom relief for depression,"quality of life, symptom relief",'exercise also promote improvement in one's quality of life in general'
0,mdd,major depressive disorder,definition,a prevalent psychiatric disorder leading to poor quality of life and impaired functioning,psychiatric disorder impact,depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning.
1,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depressive disorder,mdd,"pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remain the most frequent option for treating depression during the acute phase."
2,ect,electroconvulsive therapy,highly effective,somatic therapy for depression,somatic therapy,electroconvulsive therapy is the most effective somatic therapy for depression in some specific situation.
3,maois,monoamine oxidase inhibitors (maois),less commonly used,all depression,all depression,"due to their irreversible inhibition of monoamine oxidase, moais have numerous side effects, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage."
4,mdd,major depressive disorder,treatment options,"pharmacotherapy, depression-focused psychotherapy, combination of medication and psychotherapy, somatic therapy such as electroconvulsive therapy (ect)",treatment methods,"acute-phase treatment options include pharmacotherapy, depression-focused psychotherapy, combination of medication and psychotherapy, and somatic therapy such as electroconvulsive therapy (ect)."
5,cbt,cognitive-behavioral therapy (cbt),overview,involves modifying dysfunctional behavior and cognitions,therapy process,"based on robust evidence, cbt is one of the most well-documented and validated psychotherapeutic methods available."
6,ketamine,ketamine,treats,treatment-resistant unipolar and bipolar major depression,resistant depression,"in intravenous sub-anesthetic dose, ketamine have very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."
7,ssris,selective serotonin reuptake inhibitors (ssris),same efficacy as ... for,tricyclic antidepressants (tcas),tcas,"in most systematic reviews and meta-analyses, ssris have demonstrated comparable efficacy to tcas."
8,mirtazapine,mirtazapine,comparable to,ssris,ssris,mirtazapine is about as effective as ssris.
9,cbt,cognitive-behavioral therapy (cbt),first-line treatment,mild to moderate major depressive disorder,mild to moderate mdd,depression-focused psychotherapy is typically considered the initial treatment method for mild to moderate mdd.
0,escitalopram,escitalopram,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","""escitalopram, mirtazapine, sertraline, and venlafaxine were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"""
1,mirtazapine,mirtazapine,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","""escitalopram, mirtazapine, sertraline, and venlafaxine were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"""
2,sertraline,sertraline,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","""escitalopram, mirtazapine, sertraline, and venlafaxine were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"""
3,venlafaxine,venlafaxine,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","""escitalopram, mirtazapine, sertraline, and venlafaxine were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"""
4,escitalopram,escitalopram,first-line treatment,major depressive disorder,mdd,"""several therapies have been studied for their efficacy in treating depression, this article explores effective and valid therapy for treating depression by addressing current and future research topics for different treatment categories."""
5,reboxetine,reboxetine,less effective,"escitalopram, mirtazapine, sertraline, venlafaxine","escitalopram, mirtazapine, sertraline, venlafaxine","""reboxetine was significantly less efficacious than all the other 11 antidepressants."""
6,sertraline,sertraline,widely used,major depressive disorder,mdd,"""sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."""
7,mdd,major depressive disorder,treats,selective serotonin reuptake inhibitors (ssris),ssris,"""pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remains the most frequent option for treating depression during the acute phase."""
8,ect,electroconvulsive therapy,highly effective,major depressive disorder,mdd,"""ect is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported."""
0,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depressive disorder,mdd,"""most guideline currently recommend ssris as the first-line treatment for patient with major depression"""
1,antidepressants,antidepressants,definition,medications that treat major depressive disorder,mdd,"""while selective serotonin reuptake inhibitor (ssris) remain the gold-standard treatment for depression"""
2,ect,electroconvulsive therapy (ect),highly effective,major depressive disorder,mdd,"""ect be arguably the most effective treatment modality in psychiatry"""
3,mdd,major depressive disorder,associated with,high rate of suicidal behavior and mortality,risks,"""depression be also associate with high rate of suicidal behavior and mortality"""
4,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"sexual and digestive issues, irritability, anxiety, insomnia, headache",side effects,"""they have elicit different tolerance rate and side effect - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache"""
5,sertraline,sertraline,comparable to,escitalopram,escitalopram,"""escitalopram and sertraline show the best profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."""
6,reboxetine,reboxetine,less effective,other antidepressants,antidepressants,"""reboxetine was significantly less efficacious than all the other antidepressants tested."""
7,ketamine,ketamine,treats,treatment-resistant depression,trd,"""in intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"""
0,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depressive disorder,mdd,"""most guideline currently recommend ssris as the first-line treatment for patients with major depression"""
1,ect,electroconvulsive therapy (ect),highly effective,major unipolar depression,mud,"""ect is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported"""
2,ketamine,ketamine,comparable to,other antidepressants,oads,"""the antidepressant effect of ketamine can persist for several days but eventually wane"""
3,cbt,cognitive-behavioral therapy (cbt),first-line treatment,mild to moderate major depressive disorder,mmd,"""cognitive-behavioral therapy is typically considered the initial treatment method for mild to moderate mdd"""
4,maois,monoamine oxidase inhibitors (maois),second-line treatment,patients not responding to several other pharmacotherapies,non-responding patients,"""maois have become less commonly used over time... almost exclusively prescribe for patients who have not responded to several other pharmacotherapies"""
5,maois,monoamine oxidase inhibitors (maois),specific efficacy in treating,depression with atypical features,atypical depression,"""maois have demonstrated specific efficacy in treating depression with atypical features"""
6,ketamine,ketamine,side effects,"neurotoxicity, cognitive dysfunction, psychosis, dissociation, cardiovascular symptoms",side effects,"""common adverse effects of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms"""
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"""anxious depression is associated with poorer acute outcomes than nonanxious depression following antidepressant treatment."""
1,anxious depression,anxious depression,associated with,"unemployment, less education, more severe depression, concurrent anxiety disorders, melancholic/endogenous features",various life impacts,"""similarly, in level 2, patients with anxious depression fared significantly worse in both the switching and augmentation options."""
2,anxious depression,anxious depression,results,less likely remission and longer time to occur than those with nonanxious depression,poorer treatment outcome,"""remission was significantly less likely and took longer to occur in these patients than in those with nonanxious depression."""
3,anxious depression,anxious depression,symptom,high levels of anxiety,high anxiety levels,"""patients were designated as having anxious depression if their anxiety/somatization factor score from the 17-item hamilton depression rating scale (hdrs) was 7 or higher at baseline."""
4,citalopram,citalopram,first-line treatment,major depressive disorder,mdd,"""in level 1 of star*d, 53.2% of patients had anxious depression. participants received citalopram."""
5,anxious depression,anxious depression,benefits,direct and stronger focus in clinical trials for effective treatment strategies,clinical trial focus,"""anxious depression is associated with poorer acute outcomes than nonanxious depression following antidepressant treatment."""
6,anxious depression,anxious depression,more commonly used,"concomitant treatment for current general medical conditions, associated symptoms of depression (e.g., sleep and agitation), and citalopram's side effects",concomitant treatments,"""concomitant treatment for current general medical conditions, for associated symptoms of depression (e.g., sleep and agitation), and for citalopram's side effects were permitted."""
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression is significantly more common than nonanxious depression among african americans than in other racial/ethnic groups; among hispanics than non-hispanics; among those seen in primary care settings than those in psychiatric care settings; among those who were unemployed than those who were employed; among those who were married, divorced, or widowed than among those who had never been married; and among those with less education, those with public insurance, and those with less income."
1,anxious depression,anxious depression,associated with,poor acute outcome than nonanxious depression,poor acute outcome,anxious depression is associated with poorer acute outcome than nonanxious depression following antidepressant treatment.
2,anxious depression,anxious depression,less effective,citalopram treatment,citalopram,patients with anxious depression fare significantly worse in both the switching and augmentation options.
3,anxious depression,anxious depression,associated with,greater reduction in anxiety/somatization score but greater residual symptoms of anxiety/somatization at endpoint than those without anxious depression,greater reduction and residual symptoms of anxiety/somatization,"patients with anxious depression had a greater reduction in anxiety/somatization score than those with nonanxious depression, but they also had greater residual symptoms of anxiety/somatization at endpoint than those without anxious depression."
4,citalopram,citalopram,first-line treatment,major depressive disorder,major depressive disorder,all eligible participants in level 1 of star*d received citalopram.
5,anxious depression,anxious depression,associated with,higher mean qids-sr score at exit and lower raw qids-sr change score and percentage change in qids-sr score than the nonanxious depression group,higher mean qids-sr score at exit and lower change scores,patients with anxious depression had a higher mean qids-sr score at exit and significantly lower raw qids-sr change score and percentage change in qids-sr score than the nonanxious depression group.
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"""anxious depression be significantly more common than nonanxious depression among african americans than in other racial/ethnic groups; among hispanics than non-hispanics; among those seen in primary care settings than those in psychiatric care settings; among those who were unemployed than those who were employed; among those who were married, divorced, or widowed than among those who had never married; among those with less education, those with public insurance, and those with less income""."
1,anxious depression,anxious depression,associated with,poor acute outcome compared to nonanxious depression following antidepressant treatment,poor acute outcome,"""anxious depression be associate with poor acute outcome than nonanxious depression following antidepressant treatment""."
2,citalopram,citalopram,first-line treatment,major depressive disorder in star*d level 1,mdd in level 1,"""a total of 2,876 adult outpatients with major depressive disorder, enrolled from 18 primary and 23 psychiatric care sites, received citalopram in level 1 of star*d""."
3,anxious depression,anxious depression,less effective,citalopram treatment outcome compares to nonanxious depression,citalopram treatment outcome,remission was significantly less likely and took longer to occur in these patients than in those with nonanxious depression.
4,citalopram,citalopram,side effects,"higher side effect frequency, intensity, burden, and serious adverse event in anxious depression group compared to nonanxious depression group",higher side effects in anxious group,"the anxious depression group had a greater frequency, intensity, and burden of side effects than the nonanxious depression group, as well as more serious adverse events."
5,sertraline,sertraline,comparable to,escitalopram for treating major depressive disorder with anxious features,escitalopram for mdd with anxious features,"""sertraline might be the better choice when starting treatment for moderate to severe major depression in adults because it has the most favorable balance between benefits, acceptability, and acquisition cost""."
