,subjsummary,subj,rel,obj,objsummary,ref
7,ect,electroconvulsive therapy (ect),eligiblity,"patients with severe and psychotic depression, a high risk of suicide, or parkinson’s disease, as well as pregnant patients",eligible patients for ect,"ect be typically recommend for patient with severe and psychotic depression, a high risk of suicide, or parkinson’s disease, as well as pregnant patient"
8,psychotherapy,psychotherapy,overview,identify factors linked to treatment response can help therapists choose the right therapeutic strategy for each patient,strategy selection basis,"identify factor (e.g., interpersonal variable) link to treatment response can help therapist choose the right therapeutic strategy for each patient"
9,ect,electroconvulsive therapy (ect),benefits,reduces the number of hospital readmissions and lightens the burden of depression,"reduced hospital readmissions, lessened depression burden","ect reduce the number of hospital readmission and lighten the burden of depression, lead to a well quality of life"
10,brief cbt and pst,brief forms of cognitive behavioral therapy (cbt) and problem-solving therapy (pst),treats,all depression,all depression,brief form (six to eight session) of cbt and pst have already show their effectiveness for treat depression
0,tdcs,transcranial direct current stimulation (tdcs),definition,a relatively simple and portable technology for neurophysiological study and treatment with delayed efficacy in depression,treatment,"""transcranial direct current stimulation (tdcs), as a relatively simple and portable technology, be well-suited for remote supervised treatment and assessment at home, thus facilitate long treatment duration""."
1,vns,vagus nerve stimulation (vns),definition,"a therapeutic method involving the implantation of a pacemaker linked to an electrode surrounding the left vagus nerve, used for treating resistant depression",treatment,"""vns involve the implantation of a pacemaker under the collarbone that be connect to an electrode surround the left vagus nerve."""
2,vns,vagus nerve stimulation (vns),associated with,fewer potential adverse cardiac effects,side effect,"""the left vagus nerve be prefer because it expose the patient to few potential adverse cardiac effect."""
3,dbs,deep brain stimulation (dbs),definition,"stimulation of target areas in the brain such as the subgenual cingulate white matter, showing positive outcomes in treatment-resistant depression",treatment,"""dbs of the subgenual cingulate white matter (brodmann area = ba 25) elicit a clinical response in 60% of resistant depression patient after six month."""
4,mst,magnetic seizure therapy (mst),definition,"a technique involving the induction of therapeutic seizures by applying magnetic stimulation to the brain under anesthesia, investigated as an alternative to electroconvulsive therapy for treating psychiatric disorders",treatment,"""magnetic seizure therapy involve inducing a therapeutic seizure by applying magnetic stimulation to the brain while the patient be under anesthesia."""
5,mst,magnetic seizure therapy (mst),side effects,fewer neurocognitive effects,side effect,"""it appear to induce few neurocognitive effect than ect."""
6,phototherapy,luxtherapy (phototherapy),definition,"treatment method involving intense light exposure, effective for treating both seasonal and non-seasonal depression",treatment,"""the first description of reduced depression symptom due to intense light exposure be present in 1984."""
7,phototherapy,luxtherapy (phototherapy),benefits,effective for both seasonal and non-seasonal depression,effectiveness,"""this treatment method be effective both for those with seasonal and non-seasonal depression."""
8,ect,electroconvulsive therapy (ect),widely used,the most documented and effective method in the category of neuro-modulation treatments for depression,efficacy,"""ect remain the most document and effective method in this category."""
9,rtms,repetitive transcranial magnetic stimulation (rtms),benefits,a well-tolerated profile,safety,"""rtms be an interesting technique as well, as it offer a well-tolerate profile."""
0,antidepressants,antidepressants,example,treatment options for all depression,treatment options,"the three principal method available to caregiver be antidepressant, specifically structure psychotherapy, and somatic approach."
1,structured psychotherapy,structured psychotherapy,example,treatment options for all depression,treatment options,"the three principal method available to caregiver be antidepressant, specifically structure psychotherapy, and somatic approach."
2,somatic treatments,somatic treatments,example,treatment options for all depression,treatment options,"the three principal method available to caregiver be antidepressant, specifically structure psychotherapy, and somatic approach."
3,ect,electroconvulsive therapy (ect),only somatic treatment,with confirmed indication for certain forms of depression,confirmed indication,ect be the only somatic treatment with confirm indication for certain form of depression.
4,combination,"combination of medication, psychotherapy, and somatic therapy",treats,resistant forms of depression,resistant depression,"combination of medication, psychotherapy, and somatic therapy remain the most effective way to manage resistant form of depression."
5,depression,all depression,requirements,finding the right treatment option for each patient,right treatment option,finding the good option for each patient be the good way to obtain short- and long-term effectiveness.
0,ssris,selective serotonin reuptake inhibitors,definition,a class of drugs used as antidepressants,antidepressants,selective serotonin reuptake inhibitors (ssris) are a class of drugs used as antidepressants.
1,tcas,tricyclic antidepressants,definition,a class of drugs used as antidepressants,antidepressants,tricyclic antidepressants (tcas) are a class of drugs used as antidepressants.
2,ssris,selective serotonin reuptake inhibitors,first-line treatment,all depression,all depression,selective serotonin reuptake inhibitors (ssris) are recommended as first-line treatments for depression.
3,tcas,tricyclic antidepressants,second-line treatment,all depression,all depression,tricyclic antidepressants are considered second-line treatments for depression.
4,amitriptyline,amitriptyline,treats,depressive disorder,depressive disorder,amitriptyline is used for the treatment of depressive disorder.
5,ssris,selective serotonin reuptake inhibitors,more commonly used,tricyclic antidepressants,tcas,selective serotonin reuptake inhibitors are more commonly used than tricyclic antidepressants.
6,fluoxetine,fluoxetine,symptom,major depression,major depression,fluoxetine is used to alleviate the symptoms of major depression.
7,venlafaxine,venlafaxine,comparable to,other antidepressants,antidepressants,the efficacy of venlafaxine compares with other antidepressants in the treatment of major depression.
8,cbt,cognitive behavioral therapy,treats,major depressive disorder,mdd,cognitive behavioral therapy is used in the treatment of major depressive disorder.
9,duloxetine,duloxetine,specific efficacy in treating,major depressive disorder,mdd,duloxetine has specific efficacy in treating major depressive disorder.
10,ssris,selective serotonin reuptake inhibitors,benefits,patients with depression,patients with depression,selective serotonin reuptake inhibitors offer benefits to patients with depression.
11,escitalopram,escitalopram,highly effective,major depressive disorder,mdd,escitalopram is highly effective in the treatment of major depressive disorder.
12,venlafaxine,venlafaxine,more effective,ssris,ssris,venlafaxine is more effective than selective serotonin reuptake inhibitors in some cases.
13,antidepressants,antidepressants,treatment options,all depression,all depression,antidepressants provide various treatment options for all types of depression.
14,mdd,major depressive disorder,associated with,adverse effects to treatment,adverse effects,treatment of major depressive disorder is associated with adverse effects.
15,mdd,major depressive disorder,symptom,"low mood, loss of interest and pleasure",symptoms,major depressive disorder is characterized by symptoms such as low mood and loss of interest and pleasure.
0,ketamine,ketamine,treats,treatment-resistant unipolar and bipolar major depressive disorder,treatment-resistant mdd,"""ketamine for treatment-resistant unipolar and bipolar major depression: critical review and implication for clinical practice."""
1,ketamine,ketamine,associated with,risk of misuse,misuse risk,"""risk associated with misuse of ketamine as a rapid-acting antidepressant."""
2,vortioxetine,vortioxetine,definition,a novel antidepressant for the treatment of major depressive disorder,antidepressant,"""vortioxetine: a novel antidepressant for the treatment of major depressive disorder."""
3,bupropion,bupropion,treats,major depressive disorder with high level of anxiety (anxious depression),anxious depression,"""efficacy of bupropion and the selective serotonin reuptake inhibitors in the treatment of major depressive disorder with high levels of anxiety (anxious depression): a pooled analysis of 10 studies."""
4,mirtazapine,mirtazapine,comparable to,selective serotonin reuptake inhibitors,ssris,"""a meta-analysis of clinical trials comparing mirtazapine with selective serotonin reuptake inhibitors for the treatment of major depressive disorder."""
5,nefazodone,nefazodone,symptom,inhibition of hepatobiliary transport,hepatobiliary transport inhibition,"""inhibition of hepatobiliary transport as a predictive method for clinical hepatotoxicity of nefazodone."""
6,trazodone,trazodone,symptom,inhibition of serotonin (5ht)-2 receptors,5ht-2 inhibition,"""a meta-analysis of clinical trials comparing the serotonin (5ht)-2 receptor antagonist trazodone and nefazodone with selective serotonin reuptake inhibitors for the treatment of major depressive disorder."""
0,intranasal esketamine,intranasal esketamine,treats,treatment-resistant depression,trd,"""intranasal esketamine: a novel drug for treatment-resistant depression."" and ""intranasal esketamine: from origin to future implication in treatment-resistant depression."""
1,ketamine,ketamine,properties,prototype glutamatergic antidepressant with pharmacodynamic actions,properties,"""ketamine as the prototype glutamatergic antidepressant: pharmacodynamic actions, and a systematic review and meta-analysis of efficacy."""
2,trd,treatment-resistant depression,definition,a form of depression that does not respond to typical antidepressant medications,definition,"khorassani f, talreja o. ""intranasal esketamine: a novel drug for treatment-resistant depression."""
3,glutamatergic agents,glutamatergic agents,highly effective,major depressive disorder treatment,mdd,"""ketamine and beyond: investigation into the potential of glutamatergic agent to treat depression."""
4,ketamine,ketamine,more commonly used,rapid-acting antidepressants,rapid-acting ads,"""molecular and cellular mechanism of rapid-acting antidepressants ketamine and scopolamine."""
5,riluzole,riluzole,treats,moderate-to-severe major depressive disorder,mdd,"""riluzole combination therapy for moderate-to-severe major depressive disorder: a randomized, double-blind, placebo-control trial."""
0,acceptance and commitment therapy (act),acceptance and commitment therapy (act),definition,a treatment for anxiety and depression,treatment for anxiety and depression,"""acceptance and commitment therapy as a treatment for anxiety and depression: a review."""
1,major depressive disorder (mdd),major depressive disorder (mdd),definition,a disorder with a significant impact on individuals and requires comprehensive management that includes pharmacological and psychological treatments,disorder with significant impact,"""canadian network for mood and anxiety treatments (canmat) 2016 clinical guidelines for the management of adults with major depressive disorder: section 3. pharmacological treatments."""
2,problem-solving therapy (pst),problem-solving therapy (pst),definition,a type of psychotherapy that aims to help patients deal with depression by addressing problems contributing to the depression,type of psychotherapy,"""effectiveness of problem-solving therapy for older, primary care patients with depression: results from the impact project."""
3,cognitive behavioral therapy (cbt),cognitive behavioral therapy (cbt),comparable to,schema therapy,schema therapy,"""psychotherapy for depression: a randomized clinical trial comparing schema therapy and cognitive behavior therapy."""
4,psychotherapy,psychotherapy,treatment options,"treatment options for major depressive disorder include various forms of psychotherapy such as cognitive behavioral therapy, schema therapy, and problem-solving therapy",various forms of therapy,references from articles discussing treatments for major depressive disorder.
5,behavioral activation treatment (bat),behavioral activation treatment (bat),definition,a therapeutic intervention that focuses on engaging the patient in activities to improve their mood and alleviate depression,therapeutic intervention,"""the origin and current status of behavioral activation treatments for depression."""
6,mindfulness-based cognitive therapy (mbct),mindfulness-based cognitive therapy (mbct),definition,"a modified form of cognitive therapy that incorporates mindfulness practices, such as meditation, to help people with depression",modified form of cognitive therapy,"""mindfulness-based cognitive therapy: theory and practice."""
0,ect,electroconvulsive therapy,definition,a treatment for major depressive disorders,treatment for mdd,'electroconvulsive therapy: a treatment for major depressive disorders'
1,exercise,exercise,first-line treatment,major depressive disorder,mdd,'portuguese and brazilian guideline for the treatment of depression: exercise as medicine.'
2,psychoeducation,psychoeducation,treats,depression,depression,'effectiveness of psychoeducation for depression: a systematic review.'
3,psychotherapy,psychotherapy,associated with,improvement in quality of life for depression,improved qol,'effect of psychotherapy for depression on quality of life: meta-analysis.'
4,ect,electroconvulsive therapy,results,reduction in psychiatric readmission for depression,reduced readmission,'association of electroconvulsive therapy with psychiatric readmission in us hospitals.'
5,ect,electroconvulsive therapy,properties,effective against medication-resistant depression,effective for resistant depression,'medication resistance and clinical response to electroconvulsive therapy.'
6,ect,electroconvulsive therapy,side effects,risk of dementia,dementia risk,'electroconvulsive therapy and risk of dementia - a nationwide cohort study in taiwan.'
7,ect,electroconvulsive therapy,highly effective,suicide prevention in depression,suicide prevention,'the role of ect in suicide prevention.'
8,ect,electroconvulsive therapy,more commonly used,severe major depression,severe mdd,'exercise and severe major depression: effect on symptom severity and quality of life at discharge in an inpatient cohort.'
9,ect,electroconvulsive therapy,treats,treatment-resistant depression,resistant depression,'medication resistance and clinical response to electroconvulsive therapy.'
0,rtms,repetitive transcranial magnetic stimulation (rtms),treats,major depressive disorder,mdd,"""recover from depression with repetitive transcranial magnetic stimulation (rtms): a systematic review and meta-analysis of preclinical study."""
1,tdcs,transcranial direct current stimulation (tdcs),treats,major depressive disorder,mdd,"""efficacy and acceptability of transcranial direct current stimulation (tdcs) for major depressive disorder: an individual patient data meta-analysis."""
2,vns,vagus nerve stimulation,treats,treatment-resistant major depressive disorder,tr-mdd,"""stimulation du nerf vague dans le traitement de la dépression [vagus nerve stimulation and depression]."""
3,ketamine,ketamine,treats,treatment-resistant depression,trd,"""therapeutic modality for treatment-resistant depression: focus on vagal nerve stimulation and ketamine."""
4,vns,vagus nerve stimulation,second-line treatment,treatment-resistant major depressive disorder,tr-mdd,"""vagus nerve stimulation therapy randomized to different amounts of electrical charge for treatment-resistant depression: acute and chronic effects."""
5,rtms,repetitive transcranial magnetic stimulation (rtms),associated with,preclinical study improvements,improvements,"""recover from depression with repetitive transcranial magnetic stimulation (rtms): a systematic review and meta-analysis of preclinical study."""
6,tdcs,transcranial direct current stimulation (tdcs),comparable to,standard pharmacotherapy,pharmacotherapy,"""clinical research with transcranial direct current stimulation (tdcs): challenges and future directions."""
7,vns,vagus nerve stimulation,side effects,electrical charge-associated discomfort,discomfort,"""vagus nerve stimulation therapy randomized to different amounts of electrical charge for treatment-resistant depression: acute and chronic effects."""
0,vns,vagus nerve stimulation (vns),treats,treatment-resistant depression,trd,"vagus nerve stimulation for treatment-resistant depression: a randomized, control acute phase trial."
1,dbs,deep brain stimulation (dbs),treats,treatment-resistant depression,trd,deep brain stimulation for treatment-resistant depression.
2,mst,magnetic seizure therapy (mst),treats,refractory major depression,rmd,magnetic seizure therapy improve mood in refractory major depression.
3,lt,light therapy (lt),treats,mood disorders,md,the efficacy of light therapy in the treatment of mood disorders: a review and meta-analysis of the evidence.
4,sd,sleep deprivation (sd),treats,bipolar depression,bd,neural and genetic correlate of antidepressant response to sleep deprivation: a functional magnetic resonance imaging study of moral valence decision in bipolar depression.
5,ect,electroconvulsive therapy (ect),treats,antidepressant electroconvulsive,antidepressant ect,"antidepressant electroconvulsive therapy: mechanism of action, recent advances, and limitations."
0,mirtazapine,mirtazapine,more effective,duloxetine,duloxetine,"""mirtazapine ... significantly more efficacious than duloxetine (or 1·39), ..."""
1,escitalopram,escitalopram,more effective,fluoxetine,fluoxetine,"""escitalopram ... significantly more efficacious than fluoxetine (or 1·32), ..."""
2,venlafaxine,venlafaxine,more effective,fluvoxamine,fluvoxamine,"""venlafaxine ... significantly more efficacious than fluvoxamine (or 1·30), ..."""
