,subjsummary,subj,rel,obj,objsummary,ref
3,"mirtazapine, escitalopram, venlafaxine, sertraline","mirtazapine, escitalopram, venlafaxine, sertraline",more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine",compared antidepressants,"""mirtazapine, escitalopram, venlafaxine, and sertraline be significantly more efficacious"""
4,escitalopram and sertraline,escitalopram and sertraline,benefits,better profile of acceptability leading to significantly fewer discontinuations,acceptability,"""escitalopram and sertraline show the good profile of acceptability"""
5,"mirtazapine, escitalopram, venlafaxine, sertraline","mirtazapine, escitalopram, venlafaxine, sertraline",highly effective,major depression,treatment effectiveness,"""mirtazapine, escitalopram, venlafaxine, and sertraline be significantly more efficacious"""
6,reboxetine,reboxetine,less effective,all other tested antidepressants,in comparison,"""reboxetine be significantly less efficacious than all the other antidepressant tested"""
7,reboxetine,reboxetine,not effective,routine first-line acute treatment for major depression,treatment option,"""therefore, reboxetine should not be used as a routine first-line acute treatment for major depression"""
8,sertraline,sertraline,more commonly used,moderate to severe major depression,treatment choice,"""sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost"""
0,anxious depression,anxious depression,definition,major depressive disorder with high levels of anxiety symptoms,mdd w/ high anxiety,"""definition of anxious depression as in our previous study (6,9), anxious depression be define as major depressive disorder with high level of anxiety symptom"""
1,nonanxious depression,nonanxious depression,definition,major depressive disorder without high levels of anxiety symptoms,mdd w/o high anxiety,implied definition from the context of discussing anxious depression
2,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"""anxious depression be significantly more common than nonanxious depression among african americans than in other racial/ethnic group; among hispanic than non-hispanic; among those see in primary care setting than those in psychiatric care setting; among those who be unemployed than those who be employ; among those who be marrie, divorced, or widow than among those who had never marry; and among those with less education, those with public insurance, and those with less income."""
3,citalopram,citalopram,first-line treatment,anxious depression in star*d level 1,ad in star*d l1,"""in level 1 of star*d, 53.2% of patient have anxious depression. remission be significantly less likely and take long to occur in these patient than in those with nonanxious depression"""
4,anxious depression,anxious depression,associated with,poor acute outcome following antidepressant treatment,poor outcome after ad treatment,"""conclusion: anxious depression be associate with poor acute outcome than nonanxious depression follow antidepressant treatment."""
5,anxious and nonanxious depression,anxious and nonanxious depression,treatment options,"switch to sustain-release bupropion, sertraline, or extend-release venlafaxine or augmentation with sustain-release bupropion or buspirone",switch/augmentation options,"""in level 2, a total of 1,292 patient who do not remit with or tolerate citalopram be randomly assign either to switch to sustain-release bupropion (n=239), sertraline (n=238), or extend-release venlafaxine (n=250) or to continue take citalopram and receive augmentation with sustain-release bupropion (n=279) or buspirone (n=286)"""
6,star*d level 2,star*d level 2,overview,adult outpatients with major depressive disorder not remitting after citalopram in level 1 were assigned different treatment pathways,non-remitters to citalopram treatment pathways,"""in level 2 of star*d, 1,292 adult outpatient with major depressive disorder who have no remission of symptom in level 1 or could not tolerate citalopram (in the case of the switch option only) be randomly assign either to switch (overall n=727) to sustain-release bupropion (at a maximal daily dose of 400 mg; n=239), sertraline (at a maximal daily dose of 200 mg; n=238), or extend-release venlafaxine (at a maximal daily dose of 375 mg; n=250) or to continue take citalopram and receive augmentation (overall n=565) with sustain-release bupropion (at a dose of up to 400 mg per day; n=279) or buspirone (at a dose of up to 60 mg per day; n=286)"""
7,anxious depression,anxious depression,symptom,"functional impairment, greater illness chronicity, increased risk of suicidality",functional impairment & suicide risk,"""in patient with high level of anxiety accompanying major depression, greater severity of depressive illness and functional impairment, greater illness chronicity, and an increase risk of suicidality have been report"""
