,subj,rel,obj,ref
9,Anxious Depression,more common than,"nonanxious depression in African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less Education, Public insurance, Lower-income","Anxious depression is more common than nonanxious depression in African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less Education, Public insurance, Lower-income."
0,"Mirtazapine, Escitalopram, Venlafaxine, and Sertraline",More effective,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, and Reboxetine","Mirtazapine, escitalopram, venlafaxine, and sertraline be signiﬁcantly more eﬃcacious than duloxetine, ﬂuoxetine, ﬂuvoxamine, paroxetine, and reboxetine."
1,Reboxetine,Less effective,All other antidepressants tested,reboxetine be signiﬁcantly less eﬃcacious than all the other antidepressant test.
2,Escitalopram and Sertraline,first-line treatment,Moderate to severe major depression in adults,"sertraline might be the good choice when start treatment for moderate to severe major depression in adult because it have the most favourable balance between beneﬁts, acceptability, and acquisition cost."
3,Escitalopram and Sertraline,Comparable to,"Bupropion, Citalopram, Duloxetine, Fluvoxamine, Paroxetine, Venlafaxine","escitalopram and sertraline show the good proﬁle of acceptability, lead to signiﬁcantly few discontinuation than do duloxetine, ﬂuvoxamine, paroxetine, reboxetine, and venlafaxine."
4,Duloxetine and Paroxetine,side effects,Less well tolerated than Escitalopram and Sertraline,"in term of acceptability, duloxetine and paroxetine be less well tolerate than escitalopram and sertraline"
5,Reboxetine,not effective,Routine first-line acute treatment for major depression,"therefore, reboxetine should not be use as a routine first-line acute treatment for major depression."
0,Major Depressive Disorder,Definition,a prevalent psychiatric disorder causing poor quality of life and impaired functioning,abstract depression be a prevalent psychiatric disorder that often lead to poor quality of life and impaired functioning
1,Selective Serotonin Reuptake Inhibitors (SSRIs),first-line treatment,All Depression,pharmacotherapy while selective serotonin reuptake inhibitors (ssris) remain the gold -standard treatment for depression
2,MAOIs,less commonly used,All Depression,maois have become less commonly used over time[9]
3,ECT,most effective,somatic therapy for depression,electroconvulsive therapy be the most effective somatic therapy for depression in some specific situation
4,Bupropion,side effects,minimal weight gain or even weight loss,"bupropion have a well tolerability profile than ssris , with minimal weight gain ( or even lead to weight loss)[46]"
5,Ketamine,Highly effective,treatment-resistant unipolar and bipolar major depression,"ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation[54,55]"
6,Ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms","common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision, psychosis, dissociation, urological dysfunction, restlessness, headache, nausea, vomiting, and cardiovascular symptoms[58]"
7,Psychotherapy,Treatment options,All Depression,"psychotherapy for patient with depression strengthen the therapeutic alliance and enable the patient to monitor their mood , improve their functioning , understand their symptom well , and master the practical tool they need to cope with stressful events[75]"
8,Cognitive-Behavioral Therapy (CBT) and Interpersonal Therapy (IPT),first-line treatment,mild to moderate major depressive disorder,"base on significant clinical evidence, two specific psychotherapeutic methods be recommend: cognitive - behavioral therapy (cbt) and interpersonal therapy (ipt)"
9,Physical Exercise,Treatment options,All Depression,"most guideline for treat depression, include the national institute for health and care excellence, the american psychiatric association, and the royal australian and new zealand college of psychiatrist, recommend that depressed patient perform regular physical activity to alleviate symptom and prevent relapses[104]"
0,Major Depression,Definition,"a form of depression characterized as a significant depression of mood that is not due to any identifiable cause, which can significantly impact daily functioning","method we systematically review 117 randomized control trial (25 928 participants) from 1991 up to nov 30, 2007, which compare any of the follow antidepressants at therapeutic dose range for the acute treatment of unipolar major depression in adult"
1,"Mirtazapine, Escitalopram, Venlafaxine, Sertraline",More effective,"than Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, and Reboxetine in treating unipolar major depression","mirtazapine, escitalopram, venlafaxine, and sertraline be significantly more efficacious than duloxetine (odd ratio [or] 1.39, 1.33, 1.30 and 1.27, respectively), fluoxetine (1.37, 1.32, 1.28, and 1.25, respectively), fluvoxamine (1.41, 1.35, 1.30, and 1.27, respectively), paroxetine (1.35, 1.30, 1.27, and 1.22, respectively), and reboxetine (2.03, 1.95, 1.89, and 1.85, respectively)"
2,Reboxetine,Less effective,than all the other antidepressants tested in treating unipolar major depression,reboxetine be significantly less efficacious than all the other antidepressants tested
3,Escitalopram and Sertraline,first-line treatment,"for moderate to severe Major Depression due to favorable balance between benefits, acceptability, and acquisition cost","sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favorable balance between benefits, acceptability, and acquisition cost"
4,Study of new-generation antidepressants,Goal,to assess the effect of 12 new-generation antidepressants on major depression,"we therefore do a multiple-treatment meta-analysis, which account for both direct and indirect comparison, to assess the effect of 12 new-generation antidepressants on major depression"
5,Side effects of Anxious Depression,side effects,low remission rates and low response rates compared to non-anxious depression,"As shown in Table 2, remission rates were significantly lower in patients with anxious depression, according to both the HAM-D criterion (22.2% versus 33.4%) and the QIDS-SR criterion (27.5% versus 38.9%). Response rates were also significantly lower for patients with anxious depression (41.7% versus 52.8%)."
0,Major Depressive Disorder,Definition,a prevalent psychiatric disorder leading to poor quality of life and impaired functioning,Depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning.
1,Selective Serotonin Reuptake Inhibitor antidepressants,first-line treatment,Major Depressive Disorder during the acute phase,"Pharmacotherapy, especially Selective Serotonin Reuptake Inhibitor antidepressants, remains the most frequent option for treating depression during the acute phase."
2,Depression-focused psychotherapy,second-line treatment,Major Depressive Disorder,"Depression-focused psychotherapy is the second most common option for helping patients overcome the acute phase, maintain remission, and prevent relapse."
3,Electroconvulsive therapy,treats,Major Depressive Disorder,Electroconvulsive therapy is the most effective somatic therapy for depression in some specific situation.
4,Monoamine Oxidase Inhibitor antidepressants,less commonly used,Major Depressive Disorder due to side effects,"Due to their irreversible inhibition of monoamine oxidase, MAOIs have numerous side effects, such as hepatotoxicity and hypertensive crisis, that can lead to lethal intracranial hemorrhage. Consequently, MAOIs have become less commonly used over time."
5,Health-related quality of life,Improves,Electroconvulsive therapy for Major Depressive Disorder,"ECT reduces the number of hospital readmissions and lightens the burden of depression, leading to a better quality of life."
6,Physical exercise,treats,All Depression,"Most guidelines for treating depression, including the National Institute for Health and Care Excellence, the American Psychiatric Association, and the Royal Australian and New Zealand College of Psychiatrists, recommend that depressed patients perform regular physical activity to alleviate symptoms and prevent relapses."
7,Ketamine,treats,treatment-resistant Major Depressive Disorder,"Ketamine has very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation. The antidepressant effect of ketamine can persist for several days but eventually wanes."
8,Cognitive-Behavioral Therapy (CBT),first-line treatment,Major Depressive Disorder,"Based on significant clinical evidence, Cognitive-Behavioral Therapy (CBT) is recommended as the initial treatment method for mild to moderate Major Depressive Disorder."
9,Interpersonal Therapy (IPT),first-line treatment,Major Depressive Disorder,"Interpersonal Therapy (IPT), like CBT, is a first-line treatment for mild to moderate major depressive episodes in adults."
0,"Mirtazapine, escitalopram, venlafaxine, sertraline",More effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","Mirtazapine, escitalopram, venlafaxine, and sertraline be signiﬁ cantly more eﬃ   cacious than duloxetine ( odd ratio [ or ] 1·39 , 1·33 , 1·30 and 1·27 , respectively ) , ﬂ uoxetine ( 1·37 , 1·32 , 1·28 , and 1·25 , respectively ) ,   ﬂ uvoxamine ( 1·41 , 1·35 , 1·30 , and 1·27 , respectively ) , paroxetine ( 1·35 , 1·30 , 1·27 , and 1·22 , respectively ) , and   reboxetine ( 2·03 , 1·95 , 1·89 , and 1·85 , respectively ) ."
1,Reboxetine,Less effective,all other antidepressants tested,reboxetine be signiﬁ cantly less eﬃ   cacious than all the other   antidepressant test .
2,"Escitalopram, sertraline",first-line treatment,moderate to severe major depression in adults,"sertraline might be the good choice when start treatment   for moderate to severe major depression in adult because it have the most favourable balance between beneﬁ ts ,   acceptability , and acquisition cost ."
3,Venlafaxine,Comparable to,"fluoxetine, fluvoxamine","venlafaxine, and sertraline be signiﬁ cantly more eﬃ   cacious than   duloxetine, ﬂ uoxetine, ﬂ uvoxamine"
4,"Escitalopram, sertraline",More effective,"duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine","escitalopram and sertraline show the good proﬁ le of acceptability , lead to signiﬁ cantly   few discontinuation than do duloxetine , ﬂ uvoxamine , paroxetine , reboxetine , and venlafaxine ."
5,"Duloxetine, paroxetine",Less effective,"escitalopram, sertraline","in term of acceptability , duloxetine and   paroxetine be less well tolerate than escitalopram   and sertraline"
6,"Escitalopram, sertraline",Widely used,treatment for moderate to severe major depression,these result indicate that two of the most eﬃ   cacious   treatment ( mirtazapine and venlafaxine ) might not be   the good for overall acceptability
0,Selective serotonin reuptake inhibitors (SSRIs),first-line treatment,Major Depression,selective serotonin reuptake inhibitor antidepressants remain the most frequent option for treating depression during the acute phase
1,Monoamine oxidase inhibitors (MAOIs),less commonly used,Major Depression,MAOIs have become less commonly used over time
2,Tricyclic antidepressants (TCAs),More effective than,SSRIs for hospitalized patients with severe Major Depressive Disorder symptoms,some TCAs can be more effective than SSRIs when used to treat hospitalized patients
3,SSRIs,Properties,"Different tolerance rates and side effects mostly sexual and digestive, as well as irritability, anxiety, insomnia, and headaches","currently available SSRIs include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram. They have elicited different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headaches"
4,Bupropion,Properties,minimal weight gain or even lead to weight loss,"bupropion have a well tolerability profile than SSRIs, with minimal weight gain (or even lead to weight loss)"
5,Venlafaxine and duloxetine,Comparable to,TCAs efficacy for Major Depression,venlafaxine and duloxetine be generally considered effective as SSRIs
6,Electroconvulsive therapy (ECT),Highly effective,resistant form of Major Depression,ECT is the most effective somatic therapy for depression in some specific situation
7,Cognitive-behavioral therapy (CBT),first-line treatment,mild to moderate Major Depression,Cognitive-behavioral therapy and interpersonal therapy are typically considered the initial treatment methods for mild to moderate MDD
8,Interpersonal therapy (IPT),first-line treatment,mild to moderate Major Depression episode in adults,"IPT, like CBT, is a first-line treatment for mild to moderate major depressive episode in adults"
9,Physical exercise,Benefits,Depressed patients,"most guidelines for treating depression, include the National Institute for Health and Care Excellence, the American Psychiatric Association, and the Royal Australian and New Zealand College of Psychiatrists, recommend that depressed patients perform regular physical activity to alleviate symptoms and prevent relapses"
0,"Mirtazapine, Escitalopram, Venlafaxine, Sertraline",more effective,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine","Mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odd ratio [OR] 1.39, 1.33, 1.30 and 1.27, respectively), fluoxetine (1.37, 1.32, 1.28, and 1.25, respectively), fluvoxamine (1.41, 1.35, 1.30, and 1.27, respectively), paroxetine (1.35, 1.30, 1.27, and 1.22, respectively), and reboxetine (2.03, 1.95, 1.89, and 1.85, respectively)."
1,Reboxetine,less effective,All other antidepressants tested,Reboxetine was significantly less efficacious than all the other antidepressants tested.
2,Escitalopram and Sertraline,properties,good profile of acceptability,"Escitalopram and sertraline show the good profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."
3,Escitalopram and Sertraline,definition,"preferred treatment for moderate to severe major depression in adults due to favorable balance between benefits, acceptability, and acquisition cost","Escitalopram and sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because they have the most favourable balance between benefits, acceptability, and acquisition cost."
4,Fluoxetine,comparable to,Reboxetine in terms of efficacy,Fluoxetine was more efficacious than reboxetine.
5,Duloxetine and Paroxetine,side effects,less well tolerated than Escitalopram and Sertraline,"In terms of acceptability, duloxetine and paroxetine were less well tolerated than escitalopram and sertraline; fluvoxamine less well tolerated than citalopram, escitalopram, and sertraline; venlafaxine less well tolerated than escitalopram; reboxetine less well tolerated than many other antidepressants, such as bupropion, citalopram, escitalopram, fluoxetine, and sertraline."
6,Mirtazapine,highly effective,Depression,Mirtazapine among the most efficacious treatment.
0,Anxious Depression,Definition,Major Depressive Disorder with clinically meaningful levels of anxiety,objective: About half of outpatients with major depressive disorder also have clinically meaningful levels of anxiety.
1,Anxious Depression,Symptom,"greater severity of depressive illness, greater functional impairment, greater illness chronicity, increased risk of suicidality","In patients with high levels of anxiety accompanying major depression, greater severity of depressive illness and functional impairment, greater illness chronicity, and an increased risk of suicidality have been reported."
2,Anxious Depression,Associated with,poorer acute outcomes following antidepressant treatment compared to nonanxious depression,Anxious depression is associated with poorer acute outcomes than nonanxious depression following antidepressant treatment.
3,Citalopram,first-line treatment,Major Depressive Disorder in STAR*D Level 1,"2,876 adult outpatients with major depressive disorder, received citalopram in level 1 of STAR*D."
4,Anxious Depression,More common than,"Nonanxious Depression in African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less Education, Public insurance, Lower-income","Anxious depression significantly more common among African Americans than in other racial/ethnic groups; among Hispanics than non-Hispanics; among those seen in primary care setting than those in psychiatric care setting; among those who were unemployed than those who were employed; among those who were married, divorced, or widowed than among those who had never married; and among those with less education, those with public insurance, and those with less income."
5,Anxious Depression,Side effects,"greater serious adverse events, greater side effect frequency, intensity, and burden compared to nonanxious depression","Ratings of side effect frequency, intensity, and burden, as well as the number of serious adverse events, were significantly greater in the anxious depression group."
6,Sustain-release bupropion,second-line treatment,Major Depressive Disorder in STAR*D Level 2 for patients not remitting with citalopram,"In level 2, a total of 1,292 patients who did not remit with or tolerate citalopram were randomly assigned either to switch to sustain-release bupropion"
7,Buspirone,second-line treatment,Major Depressive Disorder in STAR*D Level 2 for augmentation,"In level 2 for augmentation, continue taking citalopram and receive augmentation with sustain-release bupropion or buspirone."
8,Anxious Depression,side effects,greater reduction in anxiety/somatization score but also greater residual symptoms of anxiety/somatization at endpoint than nonanxious depression,"Patients with anxious depression have a greater reduction in anxiety/somatization score than those with nonanxious depression, but they also have greater residual symptoms of anxiety/somatization at endpoint than those without anxious depression."
