,subj,rel,obj,ref
41,Ketamine,Highly effective for,treatment-resistant depression,"In intravenous sub-anesthetic doses, ketamine has very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."
42,Psychotherapy,Treats,Major Depressive Disorder,"Psychotherapeutic interventions are widely used to treat and prevent most psychiatric disorders, including depression."
43,CBT,synonym,Cognitive-Behavioral Therapy,"Based on significant clinical evidence, two specific psychotherapeutic methods are recommended: Cognitive-Behavioral Therapy (CBT) and Interpersonal Therapy (IPT)."
44,CBT,More effective than,Supportive Therapy for Major Depressive Disorder,CBT is one of the most well-documented and validated psychotherapeutic methods available.
45,"Mirtazapine, Escitalopram, Venlafaxine, Sertraline",more effective than,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine","Mirtazapine, escitalopram, venlafaxine, and sertraline be signiﬁcantly more eﬃcacious than duloxetine (odd ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), ﬂuoxetine (1·37, 1·32, 1·28, and 1·25, respectively), ﬂuvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."
46,Reboxetine,less effective than,All other antidepressants tested,Reboxetine be signiﬁcantly less eﬃcacious than all the other antidepressant test.
47,Escitalopram and Sertraline,show,the best profile of acceptability,"Escitalopram and sertraline show the good proﬁle of acceptability, leading to signiﬁcantly fewer discontinuations than do duloxetine, ﬂuvoxamine, paroxetine, reboxetine, and venlafaxine."
48,Duloxetine and Paroxetine,less well tolerated than,Escitalopram and Sertraline,"In terms of acceptability, duloxetine and paroxetine be less well tolerated than escitalopram and sertraline."
49,Reboxetine,least well tolerated,Among the 12 antidepressants,"In terms of acceptability, reboxetine be the least well tolerated agent among the 12 antidepressants."
50,Sertraline,recommended,For starting treatment for moderate to severe major depression in adults,"Sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."
51,Problem-solve therapy,synonym,PST,Problem-solve therapy (PST) => Problem-solve therapy -> synonym -> PST
52,All Depression,Definition,a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning,"""Depression be a prevalent psychiatric disorder that often lead to poor quality of life and impaired functioning."""
53,All Depression,Goal,to help the patient reach a remission state and eventually return to their baseline level of functioning,"""treatment during the acute phase of a major depressive episode aim to help the patient reach a remission state and eventually return to their baseline level of function."""
54,Selective serotonin reuptake inhibitor antidepressants,Treats,All Depression during the acute phase,"""pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remain the most frequent option for treat depression during the acute phase"""
55,Electroconvulsive therapy,Highly effective for,All Depression in some specific situation,"""electroconvulsive therapy be the most effective somatic therapy for depression in some specific situation"""
56,"Combination of medication, psychotherapy, and somatic therapy",Treats,resistant form of depression,"""combine medication, psychotherapy, and somatic therapy remain the most effective way to manage resistant form of depression."""
57,Monoamine oxidase inhibitors,Specific efficacy in treating,"depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection","""maois have demonstrate specific efficacy in treat depression with atypical feature, such as reactive mood, reverse neuro-vegetative symptom, and sensitivity to rejection."""
58,Selective serotonin reuptake inhibitors,More commonly used,All Depression,"""currently available ssris include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram."""
59,Ketamine,Highly effective for,treatment-resistant unipolar and bipolar depression,"""in intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."""
60,Psychotherapy,Treats,All Depression,"""psychotherapy for patient with depression strengthen the therapeutic alliance and enable the patient to monitor their mood, improve their functioning, understand their symptom well, and master the practical tool they need to cope with stressful events."""
61,Cognitive-behavioral therapy,synonym,CBT,"""cognitive-behavioral therapy (CBT)"""
62,Interpersonal therapy,synonym,IPT,"""interpersonal therapy (IPT)"""
63,"Mirtazapine, Escitalopram, Venlafaxine, Sertraline",more effective than,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine","Mirtazapine, escitalopram, venlafaxine, and sertraline be significantly more efficacious than duloxetine (odd ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."
64,Reboxetine,less effective than,All other antidepressants tested,Reboxetine be significantly less efficacious than all the other antidepressants tested.
65,Escitalopram and Sertraline,show,The best profile of acceptability,"Escitalopram and sertraline show the best profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."
66,Escitalopram and Sertraline,synonym,Good choice when starting treatment for moderate to severe major depression in adults,"Sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."
67,Duloxetine and Paroxetine,less well tolerated than,Escitalopram and Sertraline,"In terms of acceptability, duloxetine and paroxetine were less well tolerated than escitalopram and sertraline."
68,Reboxetine,least well tolerated,Among the 12 antidepressants,"In terms of acceptability, reboxetine was the least well tolerated agent among the 12 antidepressants."
69,Anxious Depression,side effects,low remission rates and low response rates,"As shown in Table 2, remission rates were significantly lower in patients with anxious depression, according to both the HAM-D criterion (22.2% versus 33.4%) and the QIDS-SR criterion (27.5% versus 38.9%). Response rates were also significantly lower for patients with anxious depression (41.7% versus 52.8%)."
70,MAOIs,synonym,Monoamine Oxidase Inhibitors,Monoamine oxidase inhibitor iproniazid was the first drug defined as an antidepressant; it was later classified as a monoamine oxidase inhibitor (MAOI).
71,MAOIs,Specific efficacy in treating,"depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection","Furthermore, MAOIs have demonstrated specific efficacy in treating depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection."
72,SSRIs,synonym,Selective Serotonin Reuptake Inhibitors,"In December 1987, a series of clinical studies confirmed that an SSRI called fluoxetine was as effective as TCAs for treating depression while causing fewer adverse effects."
73,SSRIs,More commonly used,Major Depression,"Currently available SSRIs include fluoxetine, sertraline, paroxetine, fluvoxamine, citalopram, and escitalopram. They have elicited different tolerance rates and side effects."
74,ECT,Highly effective for,Major Unipolar Depression,"ECT is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported."
75,Ketamine,Highly effective for,Treatment-Resistant Depression,"In intravenous sub-anesthetic doses, ketamine has very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."
76,Psychotherapy,Treats,Mild to Moderate Major Depressive Disorder,Depression-focused psychotherapy is typically considered the initial treatment method for mild to moderate MDD.
77,CBT,synonym,Cognitive-Behavioral Therapy,"Based on significant clinical evidence, two specific psychotherapeutic methods are recommended: cognitive-behavioral therapy (CBT) and interpersonal therapy (IPT)."
78,IPT,synonym,Interpersonal Therapy,"Based on significant clinical evidence, two specific psychotherapeutic methods are recommended: cognitive-behavioral therapy (CBT) and interpersonal therapy (IPT)."
79,"Mirtazapine, Escitalopram, Venlafaxine, Sertraline",more effective than,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine","Mirtazapine, escitalopram, venlafaxine, and sertraline be significantly more efficacious than duloxetine (odd ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."
80,Reboxetine,less effective than,All other antidepressants tested,Reboxetine be significantly less efficacious than all the other antidepressant tested.
81,Escitalopram and Sertraline,side effects,"Significantly fewer discontinuations than Duloxetine, Fluvoxamine, Paroxetine, Reboxetine, Venlafaxine","Escitalopram and sertraline show the good profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."
82,Sertraline,synonym,Good choice when starting treatment for moderate to severe major depression in adults,"Sertraline might be the good choice when start treatment for moderate to severe major depression in adult because it have the most favourable balance between benefits, acceptability, and acquisition cost."
83,Major Depression,treatment options,"Bupropion, Citalopram, Duloxetine, Escitalopram, Fluoxetine, Fluvoxamine, Milnacipran, Mirtazapine, Paroxetine, Reboxetine, Sertraline, Venlafaxine","We systematically review 117 randomise control trial (25 928 participant) from 1991 up to Nov 30, 2007, which compare any of the follow antidepressant at therapeutic dose range for the acute treatment of unipolar major depression in adult: bupropion, citalopram, duloxetine, escitalopram, fluoxetine, fluvoxamine, milnacipran, mirtazapine, paroxetine, reboxetine, sertraline, and venlafaxine."
84,All Depression,associated with,Variable response to different antidepressants,Clinically important differences exist between commonly prescribed antidepressants for both efficacy and acceptability in favour of escitalopram and sertraline.
85,Selective Serotonin Reuptake Inhibitors (SSRIs),synonym,gold-standard treatment for depression,"""while selective serotonin reuptake inhibitor (ssris) remain the gold-standard treatment for depression"""
86,Monoamine Oxidase Inhibitors (MAOIs),Specific efficacy in treating,"depression with atypical features, such as reactive moods, reverse neuro-vegetative symptoms, and sensitivity to rejection","""maois have demonstrate specific efficacy in treat depression with atypical feature, such as reactive mood, reverse neuro-vegetative symptom, and sensitivity to rejection"""
87,Tricyclic Antidepressants (TCAs),More effective,for patients with severe major depressive disorder (MDD) symptoms who require hospitalization,"""however, some tcas can be more effective than ssris when use to treat hospitalized patients"""
88,Electroconvulsive Therapy (ECT),Highly effective for,major unipolar depression,"""ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support"""
89,Ketamine,Highly effective for,treatment-resistant unipolar and bipolar depression,"""in intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation"""
90,Cognitive-Behavioral Therapy (CBT),synonym,structured psychotherapy,"""cognitive and behavioral therapy: based on robust evidence, cbt be one of the most well-documented and validate psychotherapeutic method available"""
91,Interpersonal Therapy (IPT),Goal,identify triggers of depressive symptoms or episodes and resolve social interaction dysfunction,"""the goal of ipt be to identify the trigger of depressive symptom or episode"""
92,Problem-Solve Therapy (PST),synonym,PST,"""problem-solve therapy: the problem-solve therapy (pst) approach combine cognitive and interpersonal element"""
93,Vagus Nerve Stimulation (VNS),Usage,for treatment-resistant unilateral or bipolar depression,"""vns be a therapeutic method that have be use for the last sixteen year to treat resistant unilateral or bipolar depression"""
94,Transcranial Magnetic Stimulation (rTMS),More effective,than placebo for improvement in depressive symptoms,"""recent literature show a significant difference between rtms and fictitious stimulation regard its improvement in depressive symptoms"""
95,Transcranial Direct Current Stimulation (tDCS),Usage,as a complementary intervention or monotherapy for depressive symptoms in unipolar or bipolar depression patients,"""it can be use as a complementary intervention or as monotherapy to reduce depressive symptom in unipolar or bipolar depression patients"""
96,"Mirtazapine, Escitalopram, Venlafaxine, Sertraline",more effective than,"Duloxetine, Fluoxetine, Fluvoxamine, Paroxetine, Reboxetine","Mirtazapine, escitalopram, venlafaxine, and sertraline be significantly more efficacious than duloxetine (odd ratio [OR] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."
97,Reboxetine,less effective than,All other antidepressants tested,Reboxetine be significantly less efficacious than all the other antidepressants tested.
98,Escitalopram and Sertraline,synonym,Good profile of acceptability,"Escitalopram and sertraline show the good profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."
99,Escitalopram and Sertraline,more effective for,Moderate to severe major depression in adults,"Sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."
100,Reboxetine,side effects,Least tolerable among antidepressants,"Reboxetine less well tolerate than many other antidepressants, such as bupropion, citalopram, escitalopram, fluoxetine, and sertraline; and escitalopram and sertraline be well tolerate than duloxetine, fluvoxamine, paroxetine, and reboxetine."
101,Anxious Depression,side effects,Low remission rates and low response rates,"As shown in Table 2, remission rates were significantly lower in patients with anxious depression, according to both the HAM-D criterion (22.2% versus 33.4%) and the QIDS-SR criterion (27.5% versus 38.9%). Response rates were also significantly lower for patients with anxious depression (41.7% versus 52.8%)."
102,Anxious Depression,definition,Major Depressive Disorder with high levels of anxiety symptoms,"""definition of anxious depression as in our previous study (6, 9), anxious depression be define as major depressive disorder with high level of anxiety symptom"""
103,Anxious Depression,Associated with,poorer acute outcomes than nonanxious depression following antidepressant treatment,"""conclusion: anxious depression be associate with poor acute outcome than nonanxious depression follow antidepressant treatment"""
104,Anxious Depression,More common than,"nonanxious depression in African American group, Hispanics, Primary Care Patients, Unemployed, Married then Divorced/Widowed, Less Education, Public insurance, Lower-income","""anxious depression be significantly more common than nonanxious depression among african americans than in other racial/ethnic group; among hispanic than non-hispanic; among those see in primary care setting than those in psychiatric care setting; among those who be unemployed than those who be employ; among those who be marrie, divorced, or widow than among those who have never marry; and among those with less education, those with public insurance, and those with less income"""
105,Anxious Depression,Co-occuring with,"greater severity of depressive illness, functional impairment, illness chronicity, and an increased risk of suicidality","""in patient with high level of anxiety accompany major depression, great severity of depressive illness and functional impairment (2), great illness chronicity (3), and an increase risk of suicidality (4) have be report"""
106,Anxious Depression,side effects,"greater frequency, intensity, and burden of side effects than nonanxious depression","""rating of side effect frequency, intensity, and burden, as well as the number of serious adverse event, be significantly great in the anxious depression group"""
107,Anxious Depression,More effective,specific treatment strategies may be required compared to nonanxious depression,"""our result also suggest the need for additional emphasis on the measurement of symptom of anxiety during the acute management of patient with major depression, particularly those whose symptom be resolve only slowly and those who continue to exhibit residual symptom after an adequate antidepressant trial"""
108,Anxious Depression,Co-occuring with,"generalized anxiety disorder, panic disorder, social phobia, obsessive-compulsive disorder, posttraumatic stress disorder, agoraphobia, hypochondriasis, and somatoform disorder","""individual with anxious major depressive disorder be more likely to meet psychiatric diagnostic screening questionnaire criterion for generalized anxiety disorder, panic disorder, social phobia, obsessive-compulsive disorder, posttraumatic stress disorder, agoraphobia, hypochondriasis, and somatoform disorder"""
