,subjsummary,subj,rel,obj,objsummary,ref
8,exercise,physical exercise,definition,"an adjunct therapy recommended for alleviating depression symptoms and preventing relapse, improving quality of life",therapy definition,'physical exercise recommended to alleviate symptoms and prevent relapse...improves quality of life.'
9,cbt,cognitive behavioral therapy (cbt),definition,a psychotherapeutic method based on modifying dysfunctional behavior and cognition,psychotherapy method definition,"'cognitive and behavioral therapy: based on robust evidence, cbt is one of the most well-documented and validated psychotherapeutic methods available.'"
0,psychotherapy,psychotherapy,treats,all depression,all depression,psychotherapy be effective for treat depression and improve patient's quality of life
1,ect,electroconvulsive therapy (ect),first-line treatment,resistant depression,resistant depression,"ect be the most well-known treatment for resistant depression, and solid evidence support its effectiveness and safety."
2,ect,electroconvulsive therapy (ect),results,reduced number of hospital readmissions,reduced hospital readmissions,"ect reduce the number of hospital readmission and lighten the burden of depression, lead to a well quality of life."
3,rtms,repetitive transcranial magnetic stimulation (rtms),more effective,placebo condition,placebo,"treatment combine rtms and antidepressant be significantly more effective than placebo condition, with mild side effect and good acceptability."
4,tdcs,transcranial direct current stimulation (tdcs),less effective,antidepressant,antidepressants,its effect remain low than that of antidepressant [133]
5,vns,vagus nerve stimulation (vns),definition,therapeutic method for resistant unilateral or bipolar depression,depression treatment,vns be a therapeutic method that have be use for the last sixteen year to treat resistant unilateral or bipolar depression.
6,dbs,deep brain stimulation (dbs),benefits,patient with resistant depression,resistant depression,"dbs of the subgenual cingulate white matter (brodmann area = ba 25) elicit a clinical response in 60% of resistant depression patient after six month and clinical remission in 35% of patient, with benefit maintain for over 12 mo[144]."
7,mst,magnetic seizure therapy,comparable to,ect,ect,magnetic seizure therapy involve induce a therapeutic seizure by apply magnetic stimulation to the brain while the patient be under anesthesia. this technique be still be investigate as a viable alternative to ect to treat many psychiatric disorder.
8,phototherapy,phototherapy (luxtherapy),specific efficacy in treating,seasonal and non-seasonal depression,depression types,this treatment method be effective both for those with seasonal and non-seasonal depression.
9,ect,electroconvulsive therapy (ect),widely used,neuro-modulation treatment for depression,depression treatment,ect remain the most document and effective method in this category [151].
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression is more common in african american group, hispanics, primary care patients, unemployed, married then divorced/widowed, less education, public insurance, lower-income."
1,ect,electroconvulsive therapy (ect),treats,major depressive disorder,mdd,ect is used in the treatment of major depressive disorder (mdd).
2,intranasal esketamine,intranasal esketamine,treats,treatment-resistant depression,trd,intranasal esketamine is used for treatment-resistant depression.
3,vortioxetine,vortioxetine,treats,major depressive disorder,mdd,vortioxetine is a novel antidepressant for the treatment of major depressive disorder.
4,ketamine,ketamine,associated with,risk of misuse,misuse risk,risk associated with misuse of ketamine as a rapid-acting antidepressant.
5,nefazodone,nefazodone,side effects,clinical hepatotoxicity,hepatotoxicity,inhibition of hepatobiliary transport as a predictive method for clinical hepatotoxicity of nefazodone.
6,mirtazapine,mirtazapine,treats,major depressive disorder,mdd,mirtazapine is compared with selective serotonin reuptake inhibitors for the treatment of major depressive disorder.
7,cbt,cognitive behavioral therapy (cbt),definition,a type of psychotherapy,psychotherapy,cognitive behavioral therapy (cbt) is a type of psychotherapy.
8,ect,electroconvulsive therapy (ect),first-line treatment,suicidality in mdd,suicidality,the role of ect is significant in suicide prevention for patients with major depressive disorder.
9,mbct,mindfulness-based cognitive therapy (mbct),definition,combines elements of cbt with mindfulness-based stress reduction,therapy,mindfulness-based cognitive therapy (mbct) combines elements of cbt with mindfulness-based stress reduction.
0,"mirtazapine, escitalopram, venlafaxine, sertraline","mirtazapine, escitalopram, venlafaxine, sertraline",more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine, reboxetine","""mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine (odd ratio [or] 1·39, 1·33, 1·30 and 1·27, respectively), fluoxetine (1·37, 1·32, 1·28, and 1·25, respectively), fluvoxamine (1·41, 1·35, 1·30, and 1·27, respectively), paroxetine (1·35, 1·30, 1·27, and 1·22, respectively), and reboxetine (2·03, 1·95, 1·89, and 1·85, respectively)."""
1,"escitalopram, sertraline",escitalopram and sertraline,more effective,"duloxetine, fluvoxamine, paroxetine, reboxetine, venlafaxine","duloxetine, fluvoxamine, paroxetine, reboxetine, venlafaxine","""escitalopram and sertraline show the best profile of acceptability, leading to significantly fewer discontinuations than do duloxetine, fluvoxamine, paroxetine, reboxetine, and venlafaxine."""
2,reboxetine,reboxetine,less effective,all the other antidepressants tested,other antidepressants,"""reboxetine was significantly less efficacious than all the other antidepressants tested."""
3,sertraline,sertraline,benefits,moderate to severe major depression in adults,moderate to severe major depression,"""sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost."""
0,mirtazapine,mirtazapine,more effective,fluoxetine,fluoxetine,"mirtazapine, escitalopram, venlafaxine, and sertraline be more efficacious than fluoxetine"
1,escitalopram,escitalopram,more effective,citalopram,citalopram,efficacy favour escitalopram over citalopram
2,citalopram,citalopram,more effective,reboxetine,reboxetine,citalopram over reboxetine
3,mirtazapine,mirtazapine,more effective,venlafaxine,venlafaxine,mirtazapine over fluoxetine and venlafaxine
4,sertraline,sertraline,more effective,fluoxetine,fluoxetine,sertraline over fluoxetine
5,venlafaxine,venlafaxine,more effective,fluvoxamine,fluvoxamine,venlafaxine over fluvoxamine
6,reboxetine,reboxetine,less effective,all antidepressants,all antidepressants,reboxetine be significantly less efficacious than all the other 11 antidepressants
7,reboxetine,reboxetine,not effective,acute treatment for major depression,acute treatment for major depression,"therefore, reboxetine should not be used as a routine first-line acute treatment for major depression"
8,escitalopram,escitalopram,more effective,"duloxetine, fluvoxamine, paroxetine, reboxetine","duloxetine, fluvoxamine, paroxetine, reboxetine","escitalopram, mirtazapine, sertraline, and venlafaxine be significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"
9,mirtazapine,mirtazapine,among the most efficacious treatments,acute treatment of major depression,acute treatment of major depression,"mirtazapine, escitalopram, venlafaxine, and sertraline be among the most efficacious treatments"
10,escitalopram,escitalopram,most tolerable,new-generation antidepressants,new-generation antidepressants,"in terms of acceptability, escitalopram, sertraline, citalopram, and bupropion be well tolerate than other new-generation antidepressants"
11,sertraline,sertraline,good choice,moderate to severe major depression,moderate to severe major depression,escitalopram and sertraline might be the good choice when starting a treatment for moderate to severe major depression because they have the good possible balance between efficacy and acceptability
0,ssri,selective serotonin reuptake inhibitors (ssris),example,antidepressants,antidepressants,"""selective serotonin reuptake inhibitors (ssris)"" can be considered as an example of antidepressants."
1,duration,6-24 weeks follow-up duration,associated with,variability in treatment outcomes,outcome variability,"""clinically, the assessment of efficacy after 6 week of treatment or after 16–24 week or more might lead to wide difference in treatment outcome""."
2,early response,early response to antidepressants,definition,improvement in symptoms within a predefined follow-up duration,symptom improvement,"""investigate early response to antidepressant employ a common definition of early response across all include study""."
3,sponsorship bias,sponsorship bias,associated with,pharmaceutical company involvement in clinical trials,pharma trials,"""evidence exist of presence of sponsorship bias ( ie , the bias associated with the commercial interest of industrial sponsor ) in medicine""."
4,sertraline,sertraline,more effective,other new-generation antidepressants,other antidepressants,"""our analysis suggest that sertraline be well than other new-generation drug in term of efficacy and acceptability""."
5,mdd,major depressive disorder,example,depression,depression,"""no systematic review have investigate the comparative efficacy of antidepressant in individuals with major depression""."
6,placebo trial,placebo-controlled trial,requirements,marketing authorization for antidepressants in the usa and europe,marketing authorization,"""in both the usa and europe, regulatory authority require placebo-control study for marketing authorisation""."
7,sertraline,sertraline,first-line treatment,major depressive disorder,mdd,"""our analysis suggest that sertraline be well than other new-generation drug in term of efficacy and acceptability, and could be used as a standard comparator in phase iii and also in pragmatic (or effectiveness) trial""."
0,anxious depression,anxious depression,subset,major depressive disorder,mdd,objective: about half of outpatients with major depressive disorder also have clinically meaningful levels of anxiety.
1,nonanxious depression,nonanxious depression,subset,major depressive disorder,mdd,objective: about half of outpatients with major depressive disorder also have clinically meaningful levels of anxiety.
2,citalopram,citalopram,first-line treatment,major depressive disorder in star*d level 1,mdd in star*d l1,"method: a total of 2,876 adult outpatients with major depressive disorder, enrolled from 18 primary and 23 psychiatric care sites, received citalopram in level 1 of star*d."
3,major depressive disorder,major depressive disorder,symptom,anxiety and nervousness,anxiety,"patients with major depressive disorder often also suffer from anxiety, nervousness, and the somatic correlates of these states."
4,anxious depression,anxious depression,more common than,"nonanxious depression in african american group, hispanics, primary care patients, unemployed, married then divorced/widowed, less education, public insurance, lower-income",various demographics,"sociodemographic and clinical features at baseline as in our two previous studies, anxious depression was significantly more common than nonanxious depression among african americans than in other racial/ethnic groups..."
5,anxious depression,anxious depression,associated with,poor acute outcome following antidepressant treatment,poor treatment outcome,conclusion: anxious depression is associated with poorer acute outcomes than nonanxious depression following antidepressant treatment.
6,anxious depression,anxious depression,associated with,greater severity of depressive illness and functional impairment,greater illness severity,"in patients with high levels of anxiety accompanying major depression, greater severity of depressive illness and functional impairment have been reported."
7,citalopram,citalopram,treats,anxious and nonanxious major depressive disorder in star*d level 1,anxious and nonanxious mdd in star*d l1,"method: a total of 2,876 adult outpatients with major depressive disorder, enrolled from 18 primary and 23 psychiatric care sites, received citalopram in level 1 of star*d."
8,anxious depression,anxious depression,results,significantly lower remission rates and longer time to remission than nonanxious depression,lower remission rates,"results: in level 1 of star*d, 53.2% of patients had anxious depression. remission was significantly less likely and took longer to occur in these patients than in those with nonanxious depression."
0,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,anxious depression have a greater reduction in anxiety/somatization score than those with nonanxious depression.
1,anxious depression,anxious depression,results,"greater frequency, intensity, and burden of side effects",side effects,"the anxious depression group have greater a frequency, intensity, and burden of side effects than the nonanxious depression group."
2,anxious depression,anxious depression,results,more serious adverse events,adverse events,the anxious depression group...as well as more serious adverse event.
3,anxious depression,anxious depression,associated with,longer time to remission or response,time to remission/response,the time to first remission and first response differ significantly between the anxious and nonanxious depression group: those with nonanxious depression achieve remission and response sooner on average than those with anxious depression.
4,sr-bupropion,sustain-release bupropion,dosage,maximal daily dose of 400 mg,400 mg,sustain-release bupropion (at a maximal daily dose of 400 mg).
5,sertraline,sertraline,dosage,maximal daily dose of 200 mg,200 mg,sertraline (at a maximal daily dose of 200 mg).
6,er-venlafaxine,extend-release venlafaxine,dosage,maximal daily dose of 375 mg,375 mg,extend-release venlafaxine (at a maximal daily dose of 375 mg).
7,buspirone,buspirone,dosage,dose of up to 60 mg per day,60 mg/day,buspirone (at a dose of up to 60 mg per day).
8,citalopram,citalopram,symptom,worsening of insomnia and nervousness,insomnia and nervousness,"within a few day of start the medication, she call we express her concern about the side effect that she be experience; in particular, she be worried about the worsening of her insomnia and her nervousness."
9,benzodiazepine,benzodiazepine,treats,insomnia and agitation,insomnia and agitation,"a benzodiazepine be prescribe, which bring about a significant improvement in her insomnia and agitation."
10,anxious depression,anxious depression,definition,major depression with anxious features,major depression with anxious features,this be the large sample use thus far to examine whether major depression with anxious feature be associate with a different treatment outcome than nonanxious major depression.
