,subjsummary,subj,rel,obj,objsummary,ref
12,ketamine,ketamine,highly effective,treatment-resistant unipolar and bipolar depression,resistant depression,"""ketamine have very quick effect on resistant unipolar (and, possibly, bipolar) depression"""
13,ketamine,ketamine,side effects,"dizziness, neurotoxicity, cognitive dysfunction",side effects,"""common adverse effect of ketamine include dizziness, neurotoxicity, cognitive dysfunction"""
14,cognitive behavioral therapy (cbt),cognitive behavioral therapy (cbt),overview,combines elements of behavioral modification with cognitive restructuring,therapeutic approach,"""interventional strategies are based on modifying dysfunctional behavior and cognition"""
15,ketamine,ketamine,not effective,as a long-term treatment option due to risk of drug dependence,long-term treatment,"""prolonged exposure may predispose patients to neurotoxicity and drug dependence"""
16,ketamine,ketamine,associated with,high risk of drug abuse and addiction,addiction risk,"""since ketamine is associated with a high risk of drug abuse and addiction, it cannot be recommended in daily clinical practice"""
17,esketamine,esketamine,widely used,treatment-resistant depression,resistant depression,"""it was approved by the united states food and drug administration in march 2019 for treatment-resistant depression"""
19,psychotherapy,depression-focused psychotherapy,second-line treatment,acute phase of major depressive episode,acute mdd,"""depression-focused psychotherapy is the second most common option for helping patients overcome the acute phase, maintain remission, and prevent relapse."""
20,ect,electroconvulsive therapy (ect),highly effective,resistant forms of depression,resistant depression,"""electroconvulsive therapy is the most effective somatic therapy for depression in some specific situation."""
21,mdd,major depressive disorder (mdd),associated with,poor quality of life and impaired functioning,impacts,"""depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning."""
22,cognitive dysfunction,cognitive dysfunction,symptom,depression,all depression,"""vortioxetine have particular benefits in depression-related cognitive impairment."""
23,ketamine,ketamine,treats,treatment-resistant depression,resistant depression,"""intravenous sub-anesthetic dose, ketamine have very quick effects on resistant unipolar (and, possibly, bipolar) depression and acute suicidal ideation."""
24,ketamine,ketamine,side effects,"neurotoxicity, cognitive dysfunction, nausea, vomiting",side effects,"""common adverse effects of ketamine include dizziness, neurotoxicity, cognitive dysfunction, blurred vision."""
25,cbt,cognitive-behavioral therapy (cbt),overview,combines elements of behavioral therapy with cognitive therapy,therapy approach,"""cognitive-behavioral therapy targets depressed patient' irrational beliefs and distorted cognition by challenging and reversing them."""
26,cbasp,cognitive behavioral analysis system of psychotherapy (cbasp),treats,chronic depression,chronic mdd,"""the european psychiatric association recommends using the cognitive behavioral analysis system of psychotherapy for treating chronic depression."""
27,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"sexual and digestive (nausea and loss of appetite), irritability, anxiety, insomnia, headache",side effects,"""they have elicited different tolerance rates and side effects – mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache."""
28,ect,electroconvulsive therapy (ect),goal,"reduce number of hospital readmissions, alleviate depression burden, improve quality of life",treatment goals,"""ect reduce the number of hospital readmissions and lighten the burden of depression, leading to a better quality of life."""
29,ssris,selective serotonin reuptake inhibitors,first-line treatment,major depression,mdd,most guideline currently recommend ssris as the first-line treatment for patients with major depression.
30,ect,electroconvulsive therapy,highly effective,major unipolar depression,mud,"ect is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported."
31,cbt,cognitive behavioral therapy,first-line treatment,mild to moderate major depressive disorder,mmd,"based on significant clinical evidence, cbt is recommended as the initial treatment method for mild to moderate mdd."
32,ipt,interpersonal therapy,first-line treatment,mild to moderate major depressive disorder,mmd,"ipt, like cbt, is a first-line treatment for mild to moderate major depressive episodes in adults and is also a well-established intervention for adolescents with depression."
33,maois,monoamine oxidase inhibitors,less commonly used,major depression,mdd,"due to their irreversible inhibition of monoamine oxidase, maois have numerous side effects... consequently, maois have become less commonly used over time."
34,snris,serotonin-norepinephrine reuptake inhibitors,comparable to,ssris and tcas,ssris/tcas,"in individual studies, venlafaxine and duloxetine (snris) were generally considered as effective as ssris. also, venlafaxine’s efficacy is comparable to that of tcas."
35,rtms,repetitive transcranial magnetic stimulation,widely used,research on depression,depression research,this method has been widely used in research on depression. recent literature shows a significant difference between rtms and sham stimulation in terms of its improvement in depressive symptoms.
36,psychotherapy,structured psychotherapy,first-line treatment,chronic depression,chronic depression,"specific and intensive psychotherapeutic support is recommended for patients with chronic depression because of high rates of comorbidity with personality disorder, early trauma, and attachment deficit."
37,cbasp,cognitive behavioral analysis system of psychotherapy,treats,chronic depression,chronic depression,the european psychiatric association recommends using the cognitive behavioral analysis system of psychotherapy for treating chronic depression.
38,maois,monoamine oxidase inhibitors,specific efficacy in treating,depression with atypical features,atypical depression,"maois have demonstrated specific efficacy in treating depression with atypical features, such as reactive mood, reverse neurovegetative symptoms, and sensitivity to rejection."
39,mst,magnetic seizure therapy,comparably effective,major depressive disorder,mdd,magnetic seizure therapy involves inducing a therapeutic seizure by applying magnetic stimulation to the brain while the patient is under anesthesia. this technique is still being investigated as a viable alternative to ect to treat many psychiatric disorders.
40,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depression,major depression,"""therefore, most guideline currently recommend ssris as the first-line treatment for patients with major depression."""
41,ect,electroconvulsive therapy (ect),highly effective,major depression,major depression,"""ect be arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression be widely support."""
42,cbt,cognitive-behavioral therapy (cbt),first-line treatment,major depression,major depression,"""based on robust evidence, cbt be one of the most well-document and validated psychotherapeutic method available."""
43,ipt,interpersonal therapy (ipt),first-line treatment,major depression,major depression,"""ipt, like cbt, be a first-line treatment for mild to moderate major depressive episodes in adults; it be also a well-establish intervention for adolescents with depression."""
44,maois,monoamine oxidase inhibitors (maois),less commonly used,major depression,major depression,"""consequently, maois have become less commonly used over time."""
45,ssris,selective serotonin reuptake inhibitors (ssris),more commonly used,major depression,major depression,"""in 1994, it be the second-best-selling drug in the world."""
46,cbt,cognitive-behavioral therapy (cbt),more effective,schema therapy,schema therapy,"""schema therapy be about as effective as cbt for treating depression."""
47,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"sexual dysfunction, nausea, loss of appetite, irritability, anxiety, insomnia, and headache","sexual dysfunction, nausea, headache","""side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache."""
48,ect,electroconvulsive therapy (ect),benefits,"patients with severe and psychotic depression, a high risk of suicide, or parkinson’s disease, as well as pregnant patients","severe depression, suicide risk, parkinson’s, pregnant patients","""ect be typically recommended for patients with severe and psychotic depression, a high risk of suicide, or parkinson’s disease, as well as pregnant patients."""
49,depression,depression,definition,a prevalent psychiatric disorder leading to poor quality of life and impaired functioning,psychiatric disorder,"""depression is a prevalent psychiatric disorder that often leads to poor quality of life and impaired functioning."""
50,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depression during the acute phase,major depression,"""selective serotonin reuptake inhibitor antidepressants remain the most frequent option for treating depression during the acute phase."""
51,ect,electroconvulsive therapy (ect),most effective,somatic therapy for depression in specific situations,somatic therapy,"""electroconvulsive therapy is the most effective somatic therapy for depression in some specific situation."""
52,maois,monoamine oxidase inhibitors (maois),less commonly used,depression treatment,depression treatment,"""consequently, maois have become less commonly used over time."""
53,cbt,cognitive-behavioral therapy (cbt),first-line treatment,mild to moderate major depressive disorder,mdd,"""based on significant clinical evidence, cognitive-behavioral therapy is recommended."""
54,maois,monoamine oxidase inhibitors (maois),specific efficacy in treating,depression with atypical features,atypical depression,"""furthermore, maois have demonstrated specific efficacy in treating depression with atypical features."""
55,ipt,interpersonal therapy (ipt),first-line treatment,mild to moderate major depressive disorder,mdd,"""interpersonal therapy, like cbt, is a first-line treatment for mild to moderate major depressive episode in adults."""
56,ketamine,ketamine,not effective,long-term depression management,long-term management,"""ketamine is not a miracle drug, and many important factors still need to be defined, such as the most effective dose and the optimal administration route."""
57,ssris,selective serotonin reuptake inhibitors (ssris),associated with,"sexual and digestive side effects (nausea and loss of appetite), irritability, anxiety, insomnia, and headache",side effects,"""they have elicited different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache."""
58,ect,electroconvulsive therapy (ect),benefits,"reducing the number of hospital readmissions and lightening the burden of depression, leading to a better quality of life","reduced readmissions, better life","""ect reduces the number of hospital readmissions and lightens the burden of depression, leading to a better quality of life."""
59,ssris,selective serotonin reuptake inhibitors (ssris),first-line treatment,major depression,major depression,'most guideline currently recommend ssris as the first-line treatment for patient with major depression'
60,maois,monoamine oxidase inhibitors (maois),second-line treatment,depression with atypical features,depression with atypical features,'maois have demonstrated specific efficacy in treating depression with atypical features'
61,cbt,cognitive-behavioral therapy (cbt),first-line treatment,mild to moderate major depressive disorder (mdd),mild to moderate mdd,'cognitive-behavioral therapy be' typically considered the initial treatment method for mild to moderate mdd'
62,ect,electroconvulsive therapy (ect),treats,severe and psychotic depression,severe and psychotic depression,'ect be typically recommended for patient with severe and psychotic depression'
63,ssris,selective serotonin reuptake inhibitors (ssris),more effective,"trazodone, nefazodone","trazodone, nefazodone",'ssris have demonstrated comparable efficacy to tcas' and 'ssris relatively good tolerability profile'
64,ketamine,ketamine,treats,treatment-resistant depression,treatment-resistant depression,"'intravenous sub-anesthetic dose, ketamine have very quick effect on resistant unipolar'"
65,cbt,cognitive-behavioral therapy (cbt),overview,bases on modifying dysfunctional behavior and cognition,modifying behavior and cognition,'interventional strategies be based on modifying dysfunctional behavior and cognition'
66,ect,electroconvulsive therapy (ect),highly effective,major unipolar depression,major unipolar depression,'ect be arguably the most effective treatment modality in psychiatry'
67,ssris,selective serotonin reuptake inhibitors (ssris),side effects,"sexual and digestive (nausea and loss of appetite), irritability, anxiety, insomnia, headache","sexual, digestive, irritability, anxiety, insomnia, headache",'ssris elicit different tolerance rate and side effects mostly sexual and digestive (nausea and loss of appetite)'
68,mdd,major depressive disorder,definition,a prevalent psychiatric disorder leading to poor quality of life and impaired functioning,psychiatric disorder impact,"""depression be a prevalent psychiatric disorder that often lead to poor quality of life and impaired functioning."""
69,ssris,selective serotonin reuptake inhibitors,first-line treatment,major depressive disorder during the acute phase,mdd,"""pharmacotherapy, especially selective serotonin reuptake inhibitor antidepressants, remains the most frequent option for treating depression during the acute phase"""
70,ect,electroconvulsive therapy,most effective,somatic therapy for depression in specific situations,therapy type,"""electroconvulsive therapy is the most effective somatic therapy for depression in some specific situations"""
71,mdd,major depressive disorder,treats,"combination of medication, psychotherapy, and somatic therapy",treatment combination,"combine medication, psychotherapy, and somatic therapy remains the most effective way to manage resistant form of depression"
72,ssris,selective serotonin reuptake inhibitors,side effects,"sexual and digestive (nausea and loss of appetite), irritability, anxiety, insomnia, and headache",drug side effects,"they have elicited different tolerance rates and side effects - mostly sexual and digestive (nausea and loss of appetite), as well as irritability, anxiety, insomnia, and headache"
73,mirtazapine,mirtazapine,less sexual dysfunction,compared to ssris and snris for treating mdd,drug benefit,"mirtazapine and mianserin are believed to increase the availability of serotonin or norepinephrine (or both), at least initially"
74,ketamine,ketamine,treats,treatment-resistant depression,depression type,"in intravenous sub-anesthetic dose, ketamine has very quick effects on resistant unipolar (and, possibly, bipolar) depression"
75,esketamine,esketamine,comparable to,ketamine for the n-methyl-d-aspartate (nmda) receptor,drug comparison,"research on the s-enantiomer of ketamine (s-ketamine, or esketamine, especially intranasal) could also be valuable"
76,esketamine,esketamine,second-line treatment,treatment-resistant depression,depression type,it was approved by the united state food and drug administration in march 2019 for treatment-resistant depression
77,escitalopram,escitalopram,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine","""escitalopram, mirtazapine, venlafaxine, and sertraline were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine"""
78,mirtazapine,mirtazapine,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine","""mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine"""
79,sertraline,sertraline,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine","""sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost"""
80,venlafaxine,venlafaxine,more effective,"duloxetine, fluoxetine, fluvoxamine, paroxetine","duloxetine, fluoxetine, fluvoxamine, paroxetine","""escitalopram, mirtazapine, venlafaxine, and sertraline were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine"""
81,reboxetine,reboxetine,less effective,all other 11 antidepressants,all other 11 antidepressants,"""reboxetine was significantly less efficacious than all the other 11 antidepressants tested"""
82,escitalopram and sertraline,escitalopram and sertraline,first-line treatment,major depressive disorder,major depressive disorder,"""sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because it has the most favourable balance between benefits, acceptability, and acquisition cost"""
83,duloxetine,duloxetine,less commonly used,"escitalopram, sertraline","escitalopram, sertraline","""duloxetine and paroxetine were less well tolerated than escitalopram and sertraline"""
84,escitalopram,escitalopram,first-line treatment,all depression,all depression,"""escitalopram and sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because they have the most favourable balance between benefits, acceptability"""
85,mirtazapine,mirtazapine,highly effective,all depression,all depression,"""in terms of response, mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"""
86,venlafaxine,venlafaxine,highly effective,all depression,all depression,"""in terms of response, mirtazapine, escitalopram, venlafaxine, and sertraline were significantly more efficacious than duloxetine, fluoxetine, fluvoxamine, paroxetine, and reboxetine"""
87,sertraline,sertraline,first-line treatment,all depression,all depression,"""escitalopram and sertraline might be the best choice when starting treatment for moderate to severe major depression in adults because they have the most favourable balance between benefits, acceptability"""
88,reboxetine,reboxetine,not effective,all depression,all depression,"""reboxetine was significantly less efficacious than all the other antidepressants tested"""
89,fluoxetine,fluoxetine,less effective,"mirtazapine, escitalopram, venlafaxine, sertraline",mevs,"""fluoxetine be less effective than reboxetine (table 4)"""
90,all depression,all depression,treatment options,"ssris, snris, bupropion, trazodone, nefazodone, mirtazapine, vilazodone, vortioxetine, maois, tcas, ketamine, esketamine, other glutamate receptor modulators",treatments,"the article discusses various treatment options for all depression, comparing their efficacy, acceptability, and potential side-effects."
91,ssris,selective serotonin reuptake inhibitors (ssris),definition,a class of drugs typically used as antidepressants in the treatment of major depressive disorder and anxiety disorders,antidepressants,"""selective serotonin reuptake inhibitors (ssris) remain the gold-standard treatment for depression"""
92,cognitive-behavioral therapy (cbt),cognitive-behavioral therapy (cbt),first-line treatment,all depression,all depression,"""cognitive-behavioral therapy (cbt) and interpersonal therapy (ipt) are recommended as initial treatment methods for mild to moderate mdd"""
93,ect,electroconvulsive therapy (ect),highly effective,all depression,all depression,"""ect is arguably the most effective treatment modality in psychiatry, and its superiority over pharmacotherapy for major unipolar depression is widely supported"""
94,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"""about half of outpatients with major depressive disorder also have clinically meaningful levels of anxiety"" and ""anxious depression --> more common than -> nonanxious depression -> in -> african american group, hispanics, primary care patients, unemployed, married then divorced/widowed, less, education, public insurance, lower-income"""
95,anxious depression,anxious depression,associated with,poor acute outcome following antidepressant treatment,poor outcome,"""anxious depression is associated with poorer acute outcomes than nonanxious depression following antidepressant treatment"""
96,anxious depression,anxious depression,symptom,major depressive disorder with high levels of anxiety symptoms,mdd with anxiety,"""anxious depression was defined as major depressive disorder with high levels of anxiety symptoms"""
97,anxious depression,anxious depression,results,remission less likely and takes longer,less likely remission,"""remission was significantly less likely and took longer to occur in these patients than in those with nonanxious depression."""
98,citalopram,citalopram,first-line treatment,major depressive disorder in star*d level 1,mdd in star*d l1,"patients with major depressive disorder, enrolled from 18 primary and 23 psychiatric care sites, received citalopram in level 1 of star*d."
99,anxious depression,anxious depression,side effects,"greater side effect frequency, intensity, and burden",greater side effects,"""ratings of side effect frequency, intensity, and burden, as well as the number of serious adverse events, were significantly greater in the anxious depression group."""
100,nonanxious depression,nonanxious depression,more effective,antidepressant treatment outcomes compared to anxious depression,better outcomes than anxious depression,"""anxious depression was associated with poorer acute outcomes than nonanxious depression following antidepressant treatment"""
101,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,"anxious depression --> more common than -> nonanxious depression -> in -> african american group, hispanics, primary care patients, unemployed, married then divorced/widowed, less, education, public insurance, lower-income"
102,anxious depression,anxious depression,less effective,citalopram treatment,citalopram,anxious depression fare significantly worse in both the switching and augmentation options.
103,citalopram,citalopram,first-line treatment,all depression,all depression,all participants received citalopram in level 1 of star*d as first-line treatment.
104,anxious depression,anxious depression,associated with,poor acute outcome,poor acute outcome,anxious depression is associated with poor acute outcome than nonanxious depression following antidepressant treatment.
105,anxious depression,anxious depression,results,more serious adverse events,serious adverse events,anxious depression group had significantly higher mean qids-sr scores at exit and significantly lower raw qids-sr change scores and percentage change in qids-sr scores than the nonanxious depression group.
106,remission,remission,less effective,anxious depression,anxious depression,remission was significantly less likely and took longer to occur in patients with anxious depression than in those with nonanxious depression.
107,anxious depression,anxious depression,more common than,nonanxious depression,nonanxious depression,anxious depression is associated with poor acute outcome than nonanxious depression following antidepressant treatment.
108,anxious depression,anxious depression,associated with,"unemployment, less education, public insurance, lower-income",socioeconomic factors,"anxious depression is significantly more common among african americans, hispanics, in primary care patients, unemployed, married then divorced/widowed, less education, public insurance, lower-income."
109,anxious depression,anxious depression,less effective,antidepressant treatment in achieving remission or response,antidepressant treatment efficacy,individuals with anxious depression are less likely to achieve remission or respond to antidepressant treatment compared to those with nonanxious depression.
110,citalopram,citalopram,first-line treatment,major depressive disorder,mdd,citalopram is used as a first-line treatment in the stard study for patients with major depressive disorder.
111,anxious depression,anxious depression,side effects,"greater frequency, intensity, and burden of side effects including serious adverse events",side effects and serious adverse events,"patients with anxious depression had greater side effects frequency, intensity, and burden, as well as a higher number of serious adverse events compared to those with nonanxious depression."
112,switching or augmentation options in level 2,switching or augmentation options in level 2,less effective,treatment outcome for patients with anxious depression,treatment outcomes for anxious depression,"in level 2 of the stard study, patients with anxious depression fared significantly worse in both the switching and augmentation options."
113,anxious depression,anxious depression,associated with,greater likelihood of reporting suicidal ideation,suicidal ideation likelihood,patients with anxious depression were more likely to report suicidal ideation compared to those with nonanxious depression.
114,patients with anxious depression,patients with anxious depression,associated with,"employment status, racial/ethnic group, treatment setting, marital status, educational level",demographic and social factors,"anxious depression is associated with specific demographic and social factors such as employment status, racial/ethnic group, treatment setting, marital status, and educational level."
115,anxious depression,anxious depression,associated with,"more physical illness burden, greater disease severity",physical illness and disease severity,individuals with anxious depression are associated with a greater physical illness burden and more severe disease.
